�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2019-04-10,'002082,勀堊肅,11.06,11.25,10.94,11.14,11.14,-0.08,-0.7181,2.1449,5104797,56531887.92,2632280000.0,2632280000.0
2019-04-09,'002082,勀堊肅,11.14,11.3,10.97,11.09,11.13,0.01,0.0898,2.133,5076642,56619847.33,2651320000.0,2651320000.0
2019-04-08,'002082,勀堊肅,11.13,11.74,11.04,11.6,11.6,-0.47,-4.0517,4.0687,9683570,109641246.36,2648940000.0,2648940000.0
2019-04-04,'002082,勀堊肅,11.6,11.77,11.06,11.3,11.33,0.27,2.3831,4.7462,11295884,129561300.36,2760800000.0,2760800000.0
2019-04-03,'002082,勀堊肅,11.33,11.48,10.67,10.91,10.98,0.35,3.1876,4.7426,11287397,126197432.5,2696540000.0,2696540000.0
2019-04-02,'002082,勀堊肅,10.98,11.77,10.83,11.17,11.0,-0.02,-0.1818,9.0148,21455281,243507242.59,2613240000.0,2613240000.0
2019-04-01,'002082,勀堊肅,11.0,11.0,10.11,10.11,10.0,1.0,10.0,7.4007,17613660,187699924.95,2618000000.0,2618000000.0
2019-03-29,'002082,勀堊肅,10.0,10.15,9.7,10.02,9.98,0.02,0.2004,3.5859,8534551,84931240.95,2380000000.0,2380000000.0
2019-03-28,'002082,勀堊肅,9.98,10.43,9.95,10.14,10.59,-0.61,-5.7602,5.5717,13260658,135371630.13,2375240000.0,2375240000.0
2019-03-27,'002082,勀堊肅,10.59,10.9,9.65,9.9,10.14,0.45,4.4379,11.4371,27220276,278154720.71,2520420000.0,2520420000.0
2019-03-26,'002082,勀堊肅,10.14,10.14,9.17,9.27,9.22,0.92,9.9783,10.0578,23937678,239402469.89,2413320000.0,2413320000.0
2019-03-25,'002082,勀堊肅,9.22,9.33,9.14,9.22,9.36,-0.14,-1.4957,1.2518,2979236,27533433.88,2194360000.0,2194360000.0
2019-03-22,'002082,勀堊肅,9.36,9.36,9.13,9.32,9.36,0.0,0.0,1.5575,3706757,34254442.07,2227680000.0,2227680000.0
2019-03-21,'002082,勀堊肅,9.36,9.45,9.25,9.38,9.26,0.1,1.0799,2.4629,5861699,54806386.27,2227680000.0,2227680000.0
2019-03-20,'002082,勀堊肅,9.26,9.32,8.96,9.23,9.2,0.06,0.6522,1.7125,4075710,37345906.44,2203880000.0,2203880000.0
2019-03-19,'002082,勀堊肅,9.2,9.58,9.14,9.29,9.28,-0.08,-0.8621,1.3991,3329800,30983190.99,2189600000.0,2189600000.0
2019-03-18,'002082,勀堊肅,9.28,9.37,8.97,9.05,9.02,0.26,2.8825,1.8019,4288481,39456549.75,2208640000.0,2208640000.0
2019-03-15,'002082,勀堊肅,9.02,9.11,8.92,8.97,8.93,0.09,1.0078,1.34,3189240,28754109.49,2146760000.0,2146760000.0
2019-03-14,'002082,勀堊肅,8.93,9.39,8.87,9.39,9.4,-0.47,-5.0,2.1484,5113095,46417073.78,2125340000.0,2125340000.0
2019-03-13,'002082,勀堊肅,9.4,9.48,9.18,9.23,9.24,0.16,1.7316,2.9739,7077923,66244479.93,2237200000.0,2237200000.0
2019-03-12,'002082,勀堊肅,9.24,9.43,9.12,9.25,9.21,0.03,0.3257,2.2002,5236545,48724988.39,2199120000.0,2199120000.0
2019-03-11,'002082,勀堊肅,9.21,9.22,8.9,8.92,8.92,0.29,3.2511,1.8514,4406427,40004647.33,2191980000.0,2191980000.0
2019-03-08,'002082,勀堊肅,8.92,9.37,8.92,9.2,9.47,-0.55,-5.8078,2.79,6640300,60744358.0,2122960000.0,2122960000.0
2019-03-07,'002082,勀堊肅,9.47,9.56,9.2,9.2,9.32,0.15,1.6094,3.2333,7695208,72380755.3,2253860000.0,2253860000.0
2019-03-06,'002082,勀堊肅,9.32,9.35,9.11,9.29,9.34,-0.02,-0.2141,3.4505,8212203,75882074.77,2218160000.0,2218160000.0
2019-03-05,'002082,勀堊肅,9.34,9.45,8.75,8.81,8.78,0.56,6.3781,3.8053,9056657,82411113.98,2222920000.0,2222920000.0
2019-03-04,'002082,勀堊肅,8.78,8.97,8.64,8.67,8.73,0.05,0.5727,2.95,7021009,61656592.49,2089640000.0,2089640000.0
2019-03-01,'002082,勀堊肅,8.73,8.88,8.51,8.57,8.56,0.17,1.986,2.4525,5837067,50662474.89,2077740000.0,2077740000.0
2019-02-28,'002082,勀堊肅,8.56,8.58,8.46,8.48,8.43,0.13,1.5421,1.1451,2725337,23211757.28,2037280000.0,2037280000.0
2019-02-27,'002082,勀堊肅,8.43,8.63,8.37,8.49,8.52,-0.09,-1.0563,2.0026,4766296,40616512.91,2006340000.0,2006340000.0
2019-02-26,'002082,勀堊肅,8.52,8.78,8.29,8.42,8.41,0.11,1.308,2.7825,6622259,56557047.41,2027760000.0,2027760000.0
2019-02-25,'002082,勀堊肅,8.41,8.44,8.05,8.05,8.05,0.36,4.472,2.1295,5068093,41932820.22,2001580000.0,2001580000.0
2019-02-22,'002082,勀堊肅,8.05,8.05,7.9,7.96,7.99,0.06,0.7509,1.1369,2705805,21571375.05,1915900000.0,1915900000.0
2019-02-21,'002082,勀堊肅,7.99,8.14,7.96,8.14,8.15,-0.16,-1.9632,1.4395,3426101,27561924.96,1901620000.0,1901620000.0
2019-02-20,'002082,勀堊肅,8.15,8.18,7.93,7.97,7.95,0.2,2.5157,1.357,3229769,26008453.41,1939700000.0,1939700000.0
2019-02-19,'002082,勀堊肅,7.95,7.99,7.85,7.87,7.89,0.06,0.7605,1.0423,2480601,19664463.9,1892100000.0,1892100000.0
2019-02-18,'002082,勀堊肅,7.89,7.94,7.7,7.73,7.68,0.21,2.7344,0.9684,2304902,18014308.48,1877820000.0,1877820000.0
2019-02-15,'002082,勀堊肅,7.68,7.78,7.64,7.71,7.71,-0.03,-0.3891,0.7464,1776401,13697060.68,1827840000.0,1827840000.0
2019-02-14,'002082,勀堊肅,7.71,7.76,7.65,7.76,7.77,-0.06,-0.7722,0.7678,1827331,14064700.58,1834980000.0,1834980000.0
2019-02-13,'002082,勀堊肅,7.77,7.79,7.52,7.69,7.64,0.13,1.7016,0.5526,1315280,10120882.4,1849260000.0,1849260000.0
2019-02-12,'002082,勀堊肅,7.64,7.68,7.53,7.53,7.53,0.11,1.4608,0.7051,1678201,12791281.58,1818320000.0,1818320000.0
2019-02-11,'002082,勀堊肅,7.53,7.63,7.38,7.38,7.38,0.15,2.0325,0.5694,1355091,10177324.11,1792140000.0,1792140000.0
2019-02-01,'002082,勀堊肅,7.38,7.38,7.16,7.18,7.14,0.24,3.3613,0.598,1423242,10392602.24,1756440000.0,1756440000.0
2019-01-31,'002082,勀堊肅,7.14,7.57,7.04,7.46,7.4,-0.26,-3.5135,0.6752,1607007,11709814.42,1699320000.0,1699320000.0
2019-01-30,'002082,勀堊肅,7.4,7.66,7.37,7.66,7.58,-0.18,-2.3747,0.6654,1583700,11921047.0,1761200000.0,1761200000.0
2019-01-29,'002082,勀堊肅,7.58,7.78,7.52,7.56,7.64,-0.06,-0.7853,0.8876,2112600,16174297.01,1804040000.0,1804040000.0
2019-01-28,'002082,勀堊肅,7.64,8.15,7.58,8.15,8.04,-0.4,-4.9751,1.2211,2906300,22700342.0,1818320000.0,1818320000.0
2019-01-25,'002082,勀堊肅,8.04,8.2,8.02,8.16,8.11,-0.07,-0.8631,0.6309,1501600,12171905.0,1913520000.0,1913520000.0
2019-01-24,'002082,勀堊肅,8.11,8.19,8.03,8.06,8.16,-0.05,-0.6127,0.6035,1436400,11687102.0,1930180000.0,1930180000.0
2019-01-23,'002082,勀堊肅,8.16,8.23,8.03,8.07,8.07,0.09,1.1152,0.7533,1792907,14599950.63,1942080000.0,1942080000.0
2019-01-22,'002082,勀堊肅,8.07,8.36,8.07,8.29,8.27,-0.2,-2.4184,0.6478,1541800,12630806.0,1920660000.0,1920660000.0
2019-01-21,'002082,勀堊肅,8.27,8.36,8.1,8.17,8.09,0.18,2.225,1.0157,2417300,19939128.0,1968260000.0,1968260000.0
2019-01-18,'002082,勀堊肅,8.09,8.19,8.02,8.07,8.11,-0.02,-0.2466,0.5518,1313400,10632503.0,1925420000.0,1925420000.0
2019-01-17,'002082,勀堊肅,8.11,8.26,7.95,8.16,8.16,-0.05,-0.6127,0.7584,1804924,14642095.49,1930180000.0,1930180000.0
2019-01-16,'002082,勀堊肅,8.16,8.36,8.13,8.2,8.23,-0.07,-0.8505,0.725,1725400,14202233.0,1942080000.0,1942080000.0
2019-01-15,'002082,勀堊肅,8.23,8.24,8.06,8.1,8.15,0.08,0.9816,0.5139,1222983,9982409.63,1958740000.0,1958740000.0
2019-01-14,'002082,勀堊肅,8.15,8.27,8.0,8.02,8.02,0.13,1.6209,0.7439,1770500,14478357.0,1939700000.0,1939700000.0
2019-01-11,'002082,勀堊肅,8.02,8.04,7.87,7.89,7.9,0.12,1.519,0.5658,1346600,10779381.0,1908760000.0,1908760000.0
