ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2019-04-10,'002878,ิชยกัลอผ,31.6,31.68,31.08,31.35,31.7,-0.1,-0.3155,1.3999,645737,20275634.41,4120842556.0,1457655259.6
2019-04-09,'002878,ิชยกัลอผ,31.7,32.0,31.1,31.72,31.71,-0.01,-0.0315,1.9088,880500,27835590.4,4133883197.0,1462268092.7
2019-04-08,'002878,ิชยกัลอผ,31.71,32.77,31.0,32.44,32.5,-0.79,-2.4308,3.2382,1493730,47499268.0,4135187261.1,1462729376.01
2019-04-04,'002878,ิชยกัลอผ,32.5,34.4,31.9,33.12,33.06,-0.56,-1.6939,4.9967,2304877,76099557.11,4238208325.0,1499170757.5
2019-04-03,'002878,ิชยกัลอผ,33.06,34.15,31.25,31.5,31.7,1.36,4.2902,5.6005,2583409,84729130.19,4311235914.6,1525002622.86
2019-04-02,'002878,ิชยกัลอผ,31.7,31.72,30.34,30.83,30.83,0.87,2.8219,3.4146,1575077,48843039.94,4133883197.0,1462268092.7
2019-04-01,'002878,ิชยกัลอผ,30.83,31.77,30.33,30.7,30.04,0.79,2.6298,3.5118,1619951,50196210.13,4020429620.3,1422136444.73
2019-03-29,'002878,ิชยกัลอผ,30.04,30.3,29.0,29.2,29.4,0.64,2.1769,2.6012,1199880,35693042.28,3917408556.4,1385695063.24
2019-03-28,'002878,ิชยกัลอผ,29.4,30.4,29.4,30.18,30.52,-1.12,-3.6697,3.4031,1569798,46926915.9,3833948454.0,1356172931.4
2019-03-27,'002878,ิชยกัลอผ,30.52,31.08,29.2,29.29,29.4,1.12,3.8095,6.2744,2894296,87494891.68,3980003633.2,1407836662.12
2019-03-26,'002878,ิชยกัลอผ,29.4,29.75,28.76,28.95,29.49,-0.09,-0.3052,4.0399,1863540,54590558.2,3833948454.0,1356172931.4
2019-03-25,'002878,ิชยกัลอผ,29.49,29.5,28.1,28.5,28.8,0.69,2.3958,3.7464,1728142,50035482.58,3845685030.9,1360324481.19
2019-03-22,'002878,ิชยกัลอผ,28.8,29.0,27.97,28.64,28.6,0.2,0.6993,2.7008,1245830,35274204.8,3755704608.0,1328495932.8
2019-03-21,'002878,ิชยกัลอผ,28.6,29.18,28.55,28.98,28.75,-0.15,-0.5217,2.8227,1302057,37470312.53,3729623326.0,1319270266.6
2019-03-20,'002878,ิชยกัลอผ,28.75,28.99,28.28,28.65,28.65,0.1,0.349,1.985,915648,26197590.26,3749184287.5,1326189516.25
2019-03-19,'002878,ิชยกัลอผ,28.65,29.05,28.5,28.61,28.6,0.05,0.1748,2.0833,961008,27643390.1,3736143646.5,1321576683.15
2019-03-18,'002878,ิชยกัลอผ,28.6,28.66,28.03,28.13,28.14,0.46,1.6347,2.0927,965332,27339724.4,3729623326.0,1319270266.6
2019-03-15,'002878,ิชยกัลอผ,28.14,28.76,27.88,28.28,28.15,-0.01,-0.0355,2.0921,965058,27225446.94,3669636377.4,1298051234.34
2019-03-14,'002878,ิชยกัลอผ,28.15,29.34,27.8,29.28,28.84,-0.69,-2.3925,2.8477,1313610,37135495.5,3670940441.5,1298512517.65
2019-03-13,'002878,ิชยกัลอผ,28.84,30.48,28.82,30.48,30.6,-1.76,-5.7516,4.5527,2100077,62131253.91,3760920864.4,1330341066.04
2019-03-12,'002878,ิชยกัลอผ,30.6,31.48,29.3,29.81,29.61,0.99,3.3435,7.312,3372899,102099904.17,3990436146.0,1411526928.6
2019-03-11,'002878,ิชยกัลอผ,29.61,29.61,28.21,28.28,28.3,1.31,4.629,4.4301,2043519,59475203.01,3861333800.1,1365859880.91
2019-03-08,'002878,ิชยกัลอผ,28.3,29.37,27.9,28.36,28.63,-0.33,-1.1526,3.3903,1563884,44864416.04,3690501403.0,1305431767.3
2019-03-07,'002878,ิชยกัลอผ,28.63,29.05,28.28,28.78,28.79,-0.16,-0.5557,3.7498,1729740,49607055.9,3733535518.3,1320654116.53
2019-03-06,'002878,ิชยกัลอผ,28.79,29.39,28.2,29.06,28.98,-0.19,-0.6556,4.311,1988596,57048118.44,3754400543.9,1328034649.49
2019-03-05,'002878,ิชยกัลอผ,28.98,29.18,28.09,28.12,28.12,0.86,3.0583,4.4976,2074654,59499347.98,3779177761.8,1336799032.38
2019-03-04,'002878,ิชยกัลอผ,28.12,29.28,28.0,28.2,27.91,0.21,0.7524,5.9429,2741375,78767951.71,3667028249.2,1297128667.72
2019-03-01,'002878,ิชยกัลอผ,27.91,28.38,27.78,28.29,28.09,-0.18,-0.6408,2.7766,1280798,35923257.0,3639642903.1,1287441718.21
2019-02-28,'002878,ิชยกัลอผ,28.09,28.88,27.75,28.23,28.22,-0.13,-0.4607,3.4857,1607902,45369509.3,3663116056.9,1295744817.79
2019-02-27,'002878,ิชยกัลอผ,28.22,28.98,26.83,27.15,27.2,1.02,3.75,6.813,3142728,88566237.51,3680068890.2,1301741500.82
2019-02-26,'002878,ิชยกัลอผ,27.2,28.2,26.52,26.63,27.17,0.03,0.1104,5.7409,2648185,72049224.51,3547054352.0,1254690603.2
2019-02-25,'002878,ิชยกัลอผ,27.17,27.25,25.9,25.9,25.57,1.6,6.2573,5.435,2507062,66596697.51,3543142159.7,1253306753.27
2019-02-22,'002878,ิชยกัลอผ,25.57,25.59,24.88,25.05,25.07,0.5,1.9944,2.4811,1144472,28994864.3,3334491903.7,1179501423.67
2019-02-21,'002878,ิชยกัลอผ,25.07,25.74,24.98,25.17,25.32,-0.25,-0.9874,4.68,2158801,54736656.01,3269288698.7,1156437258.17
2019-02-20,'002878,ิชยกัลอผ,25.32,26.32,24.35,26.2,26.22,-0.9,-3.4325,4.7075,2171484,55218889.26,3301890301.2,1167969340.92
2019-02-19,'002878,ิชยกัลอผ,26.22,27.28,25.78,26.91,26.5,-0.28,-1.0566,2.6366,1216206,32040315.34,3419256070.2,1209484838.82
2019-02-18,'002878,ิชยกัลอผ,26.5,26.66,25.89,26.03,25.8,0.7,2.7132,2.4299,1120880,29489203.8,3455769865.0,1222400771.5
2019-02-15,'002878,ิชยกัลอผ,25.8,26.43,25.7,26.23,26.2,-0.4,-1.5267,1.5674,723010,18815757.9,3364485378.0,1190110939.8
2019-02-14,'002878,ิชยกัลอผ,26.2,26.38,25.9,26.19,26.16,0.04,0.1529,1.8344,846169,22115913.31,3416647942.0,1208562272.2
2019-02-13,'002878,ิชยกัลอผ,26.16,26.28,25.86,25.94,25.9,0.26,1.0039,2.003,923952,24107021.74,3411431685.6,1206717138.96
2019-02-12,'002878,ิชยกัลอผ,25.9,26.12,25.8,25.93,25.81,0.09,0.3487,1.3413,618718,16036455.62,3377526019.0,1194723772.9
2019-02-11,'002878,ิชยกัลอผ,25.81,26.05,25.19,25.2,25.19,0.62,2.4613,2.0465,944030,24308319.9,3365789442.1,1190572223.11
2019-02-01,'002878,ิชยกัลอผ,25.19,25.19,24.55,24.55,24.52,0.67,2.7325,1.1651,537434,13441723.22,3284937467.9,1161972657.89
2019-01-31,'002878,ิชยกัลอผ,24.52,25.12,24.3,24.98,24.73,-0.21,-0.8492,1.0512,484894,12010294.0,3197565173.2,1131066676.12
2019-01-30,'002878,ิชยกัลอผ,24.73,25.15,24.55,24.55,24.76,-0.03,-0.1212,0.5826,268750,6709759.4,3224950519.3,1140753625.63
2019-01-29,'002878,ิชยกัลอผ,24.76,25.17,24.46,24.96,24.96,-0.2,-0.8013,0.8449,389760,9633129.3,3228862711.6,1142137475.56
2019-01-28,'002878,ิชยกัลอผ,24.96,25.26,24.92,25.03,24.95,0.01,0.0401,0.7165,330520,8289316.6,3254943993.6,1151363141.76
2019-01-25,'002878,ิชยกัลอผ,24.95,25.71,24.9,25.43,25.42,-0.47,-1.8489,1.2853,592910,15024183.7,3253639929.5,1150901858.45
2019-01-24,'002878,ิชยกัลอผ,25.42,25.55,25.01,25.01,25.07,0.35,1.3961,1.2165,561140,14224453.6,3314930942.2,1172582174.02
2019-01-23,'002878,ิชยกัลอผ,25.07,25.17,24.9,25.01,25.07,0.0,0.0,0.701,323340,8090178.3,3269288698.7,1156437258.17
2019-01-22,'002878,ิชยกัลอผ,25.07,25.1,24.87,24.87,25.0,0.07,0.28,0.8662,399560,9979457.6,3269288698.7,1156437258.17
2019-01-21,'002878,ิชยกัลอผ,25.0,25.21,24.62,24.91,24.91,0.09,0.3613,1.159,534624,13315185.1,3260160250.0,1153208275.0
2019-01-18,'002878,ิชยกัลอผ,24.91,25.48,24.52,25.48,25.5,-0.59,-2.3137,2.8967,1336184,33171632.18,3248423673.1,1149056725.21
2019-01-17,'002878,ิชยกัลอผ,25.5,26.2,25.41,25.88,25.83,-0.33,-1.2776,2.1291,982127,25361236.96,3325363455.0,1176272440.5
2019-01-16,'002878,ิชยกัลอผ,25.83,26.09,25.45,25.58,25.57,0.26,1.0168,2.3456,1081985,28036138.42,3368397570.3,1191494789.73
2019-01-15,'002878,ิชยกัลอผ,25.57,25.57,25.13,25.48,25.43,0.14,0.5505,1.0559,487060,12353877.7,3334491903.7,1179501423.67
2019-01-14,'002878,ิชยกัลอผ,25.43,26.08,25.26,25.82,25.82,-0.39,-1.5105,1.5105,696773,17770197.08,3316235006.3,1173043457.33
2019-01-11,'002878,ิชยกัลอผ,25.82,26.04,25.47,25.75,25.72,0.1,0.3888,1.8901,871870,22529618.2,3367093506.2,1191033506.42
2019-01-10,'002878,ิชยกัลอผ,25.72,25.79,25.15,25.44,25.48,0.24,0.9419,2.0254,934278,23801840.62,3354052865.2,1186420673.32
2019-01-09,'002878,ิชยกัลอผ,25.48,26.17,25.43,25.52,25.49,-0.01,-0.0392,2.7324,1260430,32515494.4,3322755326.8,1175349873.88
2019-01-08,'002878,ิชยกัลอผ,25.49,25.8,25.33,25.8,25.8,-0.31,-1.2016,1.8177,838460,21380745.2,3324059390.9,1175811157.19
2019-01-07,'002878,ิชยกัลอผ,25.8,26.41,25.62,26.38,26.04,-0.24,-0.9217,2.8909,1333504,34456720.5,3364485378.0,1190110939.8
2019-01-04,'002878,ิชยกัลอผ,26.04,26.1,25.5,25.68,25.82,0.22,0.8521,2.4895,1148346,29716860.08,3395782916.4,1201181739.24
2019-01-03,'002878,ิชยกัลอผ,25.82,26.38,25.51,25.9,26.08,-0.26,-0.9969,3.5203,1623841,42121566.94,3367093506.2,1191033506.42
