ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-10,'300123,ÑÇ¹â¿Æ¼¼,13.53,13.82,13.43,13.72,13.22,0.31,2.3449,2.9331,9334833,127050951.06,7574025024.06,4305976011.15
2019-04-09,'300123,ÑÇ¹â¿Æ¼¼,13.22,13.35,13.1,13.2,13.19,0.03,0.2274,1.4985,4769058,63059710.34,7400488604.44,4207317285.1
2019-04-08,'300123,ÑÇ¹â¿Æ¼¼,13.19,13.78,13.0,13.72,13.57,-0.38,-2.8003,2.8606,9104038,121639450.06,7383694757.38,4197769666.45
2019-04-04,'300123,ÑÇ¹â¿Æ¼¼,13.57,14.09,13.2,13.85,13.85,-0.28,-2.0217,3.2074,10207819,138817043.2,7596416820.14,4318706169.35
2019-04-03,'300123,ÑÇ¹â¿Æ¼¼,13.85,13.99,13.62,13.99,13.82,0.03,0.2171,2.7384,8715221,120119382.51,7753159392.7,4407817276.75
2019-04-02,'300123,ÑÇ¹â¿Æ¼¼,13.82,14.41,13.52,13.6,13.49,0.33,2.4463,5.1112,16266612,227202286.63,7736365545.64,4398269658.1
2019-04-01,'300123,ÑÇ¹â¿Æ¼¼,13.49,13.68,12.81,12.81,12.76,0.73,5.721,3.2557,10361261,138736234.43,7551633227.98,4293245852.95
2019-03-29,'300123,ÑÇ¹â¿Æ¼¼,12.76,12.76,12.25,12.25,12.3,0.46,3.7398,2.1928,6978680,88246137.1,7142982949.52,4060920465.8
2019-03-28,'300123,ÑÇ¹â¿Æ¼¼,12.3,12.75,12.24,12.28,12.28,0.02,0.1629,1.9278,6135363,77004399.55,6885477294.6,3914523646.5
2019-03-27,'300123,ÑÇ¹â¿Æ¼¼,12.28,12.74,12.19,12.61,12.5,-0.22,-1.76,1.6036,5103626,62867981.12,6874281396.56,3908158567.4
2019-03-26,'300123,ÑÇ¹â¿Æ¼¼,12.5,13.43,12.45,13.43,13.42,-0.92,-6.8554,3.4243,10898121,139641719.91,6997436275.0,3978174437.5
2019-03-25,'300123,ÑÇ¹â¿Æ¼¼,13.42,13.88,12.76,12.85,13.0,0.42,3.2308,5.5951,17806784,239193214.02,7512447584.84,4270968076.1
2019-03-22,'300123,ÑÇ¹â¿Æ¼¼,13.0,13.21,12.65,13.15,13.21,-0.21,-1.5897,2.129,6775728,87460819.96,7277333726.0,4137301415.0
2019-03-21,'300123,ÑÇ¹â¿Æ¼¼,13.21,13.33,13.02,13.08,13.19,0.02,0.1516,2.9154,9278413,122273802.54,7394890655.42,4204134745.55
2019-03-20,'300123,ÑÇ¹â¿Æ¼¼,13.19,13.25,12.63,13.07,13.1,0.09,0.687,2.6386,8397478,108699553.25,7383694757.38,4197769666.45
2019-03-19,'300123,ÑÇ¹â¿Æ¼¼,13.1,13.53,13.03,13.04,13.04,0.06,0.4601,3.2474,10334901,136872620.8,7333313216.2,4169126810.5
2019-03-18,'300123,ÑÇ¹â¿Æ¼¼,13.04,13.18,12.69,12.88,12.65,0.39,3.083,2.5096,7986822,103294799.89,7299725522.08,4150031573.2
2019-03-15,'300123,ÑÇ¹â¿Æ¼¼,12.65,13.0,12.18,12.87,12.7,-0.05,-0.3937,2.881,9168898,115652184.09,7081405510.3,4025912530.75
2019-03-14,'300123,ÑÇ¹â¿Æ¼¼,12.7,13.32,12.51,13.02,13.23,-0.53,-4.006,2.3042,7333271,93769709.25,7109395255.4,4041825228.5
2019-03-13,'300123,ÑÇ¹â¿Æ¼¼,13.23,13.99,13.07,13.95,13.85,-0.62,-4.4765,4.2093,13396380,180250439.93,7406086553.46,4210499824.65
2019-03-12,'300123,ÑÇ¹â¿Æ¼¼,13.85,14.0,13.49,13.95,13.78,0.07,0.508,5.3975,17177854,236482737.02,7753159392.7,4407817276.75
2019-03-11,'300123,ÑÇ¹â¿Æ¼¼,13.78,13.85,13.35,13.42,13.27,0.51,3.8433,3.2227,10256324,140254115.25,7713973749.56,4385539499.9
2019-03-08,'300123,ÑÇ¹â¿Æ¼¼,13.27,14.24,13.0,13.37,13.71,-0.44,-3.2093,4.9676,15809488,216671154.63,7428478349.54,4223229982.85
2019-03-07,'300123,ÑÇ¹â¿Æ¼¼,13.71,13.88,13.18,13.67,13.9,-0.19,-1.3669,4.2901,13653485,186141648.71,7674788106.42,4363261723.05
2019-03-06,'300123,ÑÇ¹â¿Æ¼¼,13.9,14.41,13.41,14.29,14.35,-0.45,-3.1359,5.2674,16763839,232994303.69,7781149137.8,4423729974.5
2019-03-05,'300123,ÑÇ¹â¿Æ¼¼,14.35,14.36,13.8,14.1,13.98,0.37,2.6466,4.609,14668201,205308969.21,8033056843.7,4566944254.25
2019-03-04,'300123,ÑÇ¹â¿Æ¼¼,13.98,14.24,13.31,13.6,13.6,0.38,2.7941,5.5474,17654893,243697493.17,7825932729.96,4449190290.9
2019-03-01,'300123,ÑÇ¹â¿Æ¼¼,13.6,14.04,12.98,13.56,13.37,0.23,1.7203,4.3317,13785881,185039936.74,7613210667.2,4328253788.0
2019-02-28,'300123,ÑÇ¹â¿Æ¼¼,13.37,13.45,12.45,12.45,12.59,0.78,6.1954,5.1566,16410932,212149658.91,7484457839.74,4255055378.35
2019-02-27,'300123,ÑÇ¹â¿Æ¼¼,12.59,13.15,12.12,12.42,12.57,0.02,0.1591,5.1798,16484854,208042506.27,7047817816.18,4006817293.45
2019-02-26,'300123,ÑÇ¹â¿Æ¼¼,12.57,13.23,12.31,12.48,12.22,0.35,2.8642,6.9089,21987832,279525784.88,7036621918.14,4000452214.35
2019-02-25,'300123,ÑÇ¹â¿Æ¼¼,12.22,12.22,11.5,11.8,11.11,1.11,9.991,7.2909,23203476,276680034.4,6840693702.44,3889063330.1
2019-02-22,'300123,ÑÇ¹â¿Æ¼¼,11.11,11.19,10.38,10.4,10.55,0.56,5.3081,5.1559,16408711,177964235.83,6219321361.22,3535801440.05
