»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2019-04-10,'603066,“Ù∑…¥¢¥Ê,9.1,9.1,8.31,8.44,8.51,0.59,6.933,5.8383,17555970,154350205.0,2751309260.7,2736396390.0
2019-04-09,'603066,“Ù∑…¥¢¥Ê,8.51,8.53,8.29,8.4,8.41,0.1,1.1891,2.4825,7464812,62829292.0,2572927671.27,2558981679.0
2019-04-08,'603066,“Ù∑…¥¢¥Ê,8.41,8.5,8.16,8.46,8.45,-0.04,-0.4734,3.273,9841969,82123278.0,2542693503.57,2528911389.0
2019-04-04,'603066,“Ù∑…¥¢¥Ê,8.45,8.7,8.32,8.6,8.59,-0.14,-1.6298,3.6145,10868938,91826412.0,2554787170.65,2540939505.0
2019-04-03,'603066,“Ù∑…¥¢¥Ê,8.59,8.86,8.14,8.17,8.17,0.42,5.1408,6.1344,18446409,156668439.0,2597115005.43,2583037911.0
2019-04-02,'603066,“Ù∑…¥¢¥Ê,8.17,8.33,8.13,8.29,8.23,-0.06,-0.729,3.3385,10039044,82391497.0,2470131501.09,2456742693.0
2019-04-01,'603066,“Ù∑…¥¢¥Ê,8.23,8.23,7.8,7.8,7.79,0.44,5.6483,3.6014,10829452,87142978.0,2488272001.71,2474784867.0
2019-03-29,'603066,“Ù∑…¥¢¥Ê,7.79,7.95,7.49,7.88,7.8,-0.01,-0.1282,3.6529,10984300,84204745.0,2355241663.83,2342475591.0
2019-03-28,'603066,“Ù∑…¥¢¥Ê,7.8,8.13,7.8,8.1,8.25,-0.45,-5.4545,3.7304,11217410,89509204.0,2358265080.6,2345482620.0
2019-03-27,'603066,“Ù∑…¥¢¥Ê,8.25,8.5,7.75,7.75,7.73,0.52,6.727,6.9638,20940352,173855647.0,2494318835.25,2480798925.0
2019-03-26,'603066,“Ù∑…¥¢¥Ê,7.73,8.01,7.68,7.97,7.97,-0.24,-3.0113,1.4554,4376300,34469375.0,2337101163.21,2324433417.0
2019-03-25,'603066,“Ù∑…¥¢¥Ê,7.97,8.06,7.78,7.89,8.01,-0.04,-0.4994,1.8528,5571500,44387374.0,2409663165.69,2396602113.0
2019-03-22,'603066,“Ù∑…¥¢¥Ê,8.01,8.08,7.87,7.99,8.0,0.01,0.125,2.1286,6400700,51143958.0,2421756832.77,2408630229.0
2019-03-21,'603066,“Ù∑…¥¢¥Ê,8.0,8.04,7.81,7.84,7.83,0.17,2.1711,2.8638,8611458,68589853.0,2418733416.0,2405623200.0
2019-03-20,'603066,“Ù∑…¥¢¥Ê,7.83,7.87,7.65,7.84,7.85,-0.02,-0.2548,1.6815,5056281,39361716.0,2367335330.91,2354503707.0
2019-03-19,'603066,“Ù∑…¥¢¥Ê,7.85,7.92,7.78,7.89,7.89,-0.04,-0.507,1.7603,5293400,41525104.0,2373382164.45,2360517765.0
2019-03-18,'603066,“Ù∑…¥¢¥Ê,7.89,7.97,7.61,7.65,7.69,0.2,2.6008,2.2836,6866974,53830540.0,2385475831.53,2372545881.0
2019-03-15,'603066,“Ù∑…¥¢¥Ê,7.69,7.75,7.56,7.63,7.61,0.08,1.0512,1.5396,4629673,35577776.0,2325007496.13,2312405301.0
2019-03-14,'603066,“Ù∑…¥¢¥Ê,7.61,7.98,7.48,7.81,7.98,-0.37,-4.6366,2.6937,8099901,62301573.0,2300820161.97,2288349069.0
2019-03-13,'603066,“Ù∑…¥¢¥Ê,7.98,8.31,7.91,8.3,8.3,-0.32,-3.8554,3.671,11038751,89258283.0,2412686582.46,2399609142.0
2019-03-12,'603066,“Ù∑…¥¢¥Ê,8.3,8.5,8.15,8.34,8.35,-0.05,-0.5988,4.8065,14453413,120459484.0,2509435919.1,2495834070.0
2019-03-11,'603066,“Ù∑…¥¢¥Ê,8.35,8.35,7.99,8.08,8.14,0.21,2.5799,4.8204,14495120,118458159.0,2524553002.95,2510869215.0
2019-03-08,'603066,“Ù∑…¥¢¥Ê,8.14,8.48,7.97,8.2,8.15,-0.01,-0.1227,7.9127,23793578,195255294.0,2461061250.78,2447721606.0
2019-03-07,'603066,“Ù∑…¥¢¥Ê,8.15,8.26,7.85,8.0,8.08,0.07,0.8663,6.3117,18979434,153088033.0,2464084667.55,2450728635.0
2019-03-06,'603066,“Ù∑…¥¢¥Ê,8.08,8.18,7.88,7.95,7.92,0.16,2.0202,4.066,12226437,97927544.0,2442920750.16,2429679432.0
2019-03-05,'603066,“Ù∑…¥¢¥Ê,7.92,7.93,7.63,7.71,7.71,0.21,2.7237,3.2911,9896343,76891215.0,2394546081.84,2381566968.0
2019-03-04,'603066,“Ù∑…¥¢¥Ê,7.71,7.86,7.44,7.58,7.73,-0.02,-0.2587,4.521,13594718,104263238.0,2331054329.67,2318419359.0
2019-03-01,'603066,“Ù∑…¥¢¥Ê,7.73,7.83,7.56,7.79,7.88,-0.15,-1.9036,2.3322,7012860,53908180.0,2337101163.21,2324433417.0
2019-02-28,'603066,“Ù∑…¥¢¥Ê,7.88,7.93,7.46,7.55,7.59,0.29,3.8208,3.8484,11572131,89607329.0,2382452414.76,2369538852.0
2019-02-27,'603066,“Ù∑…¥¢¥Ê,7.59,7.83,7.5,7.56,7.57,0.02,0.2642,2.2575,6788302,51799400.0,2294773328.43,2282335011.0
2019-02-26,'603066,“Ù∑…¥¢¥Ê,7.57,7.81,7.5,7.62,7.61,-0.04,-0.5256,2.2943,6899154,52645184.0,2288726494.89,2276320953.0
2019-02-25,'603066,“Ù∑…¥¢¥Ê,7.61,7.64,7.29,7.4,7.33,0.28,3.8199,2.4485,7362787,55190844.0,2300820161.97,2288349069.0
2019-02-22,'603066,“Ù∑…¥¢¥Ê,7.33,7.35,7.12,7.17,7.14,0.19,2.6611,1.6378,4924781,35773774.0,2216164492.41,2204152257.0
2019-02-21,'603066,“Ù∑…¥¢¥Ê,7.14,7.34,7.11,7.29,7.29,-0.15,-2.0576,1.1935,3588900,25945277.0,2158719573.78,2147018706.0
2019-02-20,'603066,“Ù∑…¥¢¥Ê,7.29,7.29,7.16,7.22,7.21,0.08,1.1096,1.04,3127186,22600517.0,2204070825.33,2192124141.0
2019-02-19,'603066,“Ù∑…¥¢¥Ê,7.21,7.32,7.12,7.26,7.25,-0.04,-0.5517,1.2118,3644000,26245662.0,2179883491.17,2168067909.0
2019-02-18,'603066,“Ù∑…¥¢¥Ê,7.25,7.25,7.05,7.05,7.08,0.17,2.4011,1.1773,3540181,25407781.0,2191977158.25,2180096025.0
2019-02-15,'603066,“Ù∑…¥¢¥Ê,7.08,7.18,7.01,7.07,7.0,0.08,1.1429,0.9635,2897300,20568610.0,2140579073.16,2128976532.0
2019-02-14,'603066,“Ù∑…¥¢¥Ê,7.0,7.11,6.96,7.02,7.02,-0.02,-0.2849,0.6739,2026453,14225878.0,2116391739.0,2104920300.0
2019-02-13,'603066,“Ù∑…¥¢¥Ê,7.02,7.12,6.95,6.95,6.92,0.1,1.4451,0.899,2703300,18970470.0,2122438572.54,2110934358.0
2019-02-12,'603066,“Ù∑…¥¢¥Ê,6.92,6.95,6.82,6.86,6.82,0.1,1.4663,0.727,2186248,15110554.0,2092204404.84,2080864068.0
2019-02-11,'603066,“Ù∑…¥¢¥Ê,6.82,6.84,6.59,6.59,6.58,0.24,3.6474,0.5625,1691500,11436890.0,2061970237.14,2050793778.0
2019-02-01,'603066,“Ù∑…¥¢¥Ê,6.58,6.63,6.25,6.3,6.23,0.35,5.618,0.7876,2368268,15272469.0,1989408234.66,1978625082.0
2019-01-31,'603066,“Ù∑…¥¢¥Ê,6.23,6.75,6.23,6.67,6.7,-0.47,-7.0149,1.0939,3289366,21247238.0,1883588647.71,1873379067.0
2019-01-30,'603066,“Ù∑…¥¢¥Ê,6.7,6.78,6.6,6.65,6.71,-0.01,-0.149,0.3558,1070000,7176190.0,2025689235.9,2014709430.0
2019-01-29,'603066,“Ù∑…¥¢¥Ê,6.71,6.81,6.52,6.8,6.79,-0.08,-1.1782,0.7249,2179786,14535922.0,2028712652.67,2017716459.0
