хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-10,'603609,╨л╥Адар╣,10.5,10.76,10.48,10.7,10.8,-0.3,-2.7778,1.0507,8733292,92485031.0,8880390424.5,8727352924.5
2019-04-09,'603609,╨л╥Адар╣,10.8,10.9,10.71,10.85,10.95,-0.15,-1.3699,0.7232,6011002,64921316.0,9134115865.2,8976705865.2
2019-04-08,'603609,╨л╥Адар╣,10.95,11.21,10.8,11.16,10.94,0.01,0.0914,1.1992,9967511,109456513.0,9260978585.55,9101382335.55
2019-04-04,'603609,╨л╥Адар╣,10.94,11.05,10.7,10.77,10.76,0.18,1.6729,1.5354,12761894,138814197.0,9252521070.86,9093070570.86
2019-04-03,'603609,╨л╥Адар╣,10.76,10.9,10.62,10.72,10.81,-0.05,-0.4625,0.7068,5874616,63105122.0,9100285806.44,8943458806.44
2019-04-02,'603609,╨л╥Адар╣,10.81,11.18,10.74,11.12,10.99,-0.18,-1.6379,1.2278,10205084,111011400.0,9142573379.89,8985017629.89
2019-04-01,'603609,╨л╥Адар╣,10.99,11.08,10.62,10.7,10.66,0.33,3.0957,1.4252,11845743,129726512.0,9294808644.31,9134629394.31
2019-03-29,'603609,╨л╥Адар╣,10.66,10.74,10.26,10.37,10.35,0.31,2.9952,1.3256,11017718,116923062.0,9015710659.54,8860341159.54
2019-03-28,'603609,╨л╥Адар╣,10.35,10.53,10.1,10.27,10.21,0.14,1.3712,1.0441,8678344,90068796.0,8753527704.15,8602676454.15
2019-03-27,'603609,╨л╥Адар╣,10.21,10.64,10.02,10.58,10.53,-0.32,-3.0389,1.3464,11191295,114477953.0,8635122498.49,8486311748.49
2019-03-26,'603609,╨л╥Адар╣,10.53,10.97,10.51,10.69,10.63,-0.1,-0.9407,1.1169,9283537,99768396.0,8905762968.57,8752288218.57
2019-03-25,'603609,╨л╥Адар╣,10.63,10.93,10.58,10.75,10.82,-0.19,-1.756,0.9581,7963250,85686791.0,8990338115.47,8835405865.47
2019-03-22,'603609,╨л╥Адар╣,10.82,11.11,10.51,11.05,11.02,-0.2,-1.8149,1.5651,13008701,139816282.0,9151030894.58,8993329394.58
2019-03-21,'603609,╨л╥Адар╣,11.02,11.15,10.97,11.04,11.04,-0.02,-0.1812,1.1916,9904696,109494235.0,9320181188.38,9159564688.38
2019-03-20,'603609,╨л╥Адар╣,11.04,11.31,10.93,11.22,11.31,-0.27,-2.3873,0.9059,7529514,83263029.0,9337096217.76,9176188217.76
2019-03-19,'603609,╨л╥Адар╣,11.31,11.37,10.94,11.26,11.38,-0.07,-0.6151,1.0678,8875068,99244215.0,9565449114.39,9400605864.39
2019-03-18,'603609,╨л╥Адар╣,11.38,11.58,11.0,11.35,11.35,0.03,0.2643,1.0913,9070916,101871912.0,9624651717.22,9458788217.22
2019-03-15,'603609,╨л╥Адар╣,11.35,12.0,11.11,11.85,11.6,-0.25,-2.1552,1.4093,11713422,134983810.0,9599279173.15,9433852923.15
2019-03-14,'603609,╨л╥Адар╣,11.6,12.18,11.06,11.4,11.83,-0.23,-1.9442,1.6137,13412577,155431244.0,9810717040.4,9641647040.4
2019-03-13,'603609,╨л╥Адар╣,11.83,13.34,11.6,12.94,12.63,-0.8,-6.3341,3.1782,26416606,333608549.0,10005239878.3,9832817628.27
2019-03-12,'603609,╨л╥Адар╣,12.63,12.63,11.22,11.37,11.48,1.15,10.0174,3.3151,27554417,338203934.0,10681841053.5,10497758803.5
2019-03-11,'603609,╨л╥Адар╣,11.48,11.6,10.93,11.26,11.02,0.46,4.1742,1.8532,15403182,174004581.0,9709226864.12,9541905864.12
2019-03-08,'603609,╨л╥Адар╣,11.02,11.58,11.01,11.27,11.62,-0.6,-5.1635,1.6584,13784566,155935783.0,9320181188.38,9159564688.38
2019-03-07,'603609,╨л╥Адар╣,11.62,12.26,11.23,11.71,11.83,-0.21,-1.7751,1.9379,16107734,186195607.0,9827632069.78,9658270569.78
2019-03-06,'603609,╨л╥Адар╣,11.83,11.88,11.38,11.79,11.97,-0.14,-1.1696,1.3213,10981933,127581042.0,10005239878.3,9832817628.27
