ΘΥΖΪ,ΉΙΖ±΄ϊΒλ,Γϋ³Ζ,ΚΥΕΜΌΫ,ΧξΈίΌΫ,ΧξµΝΌΫ,ΏªΕΜΌΫ,Η°ΚΥΕΜ,ΥΗµψ¶ξ,ΥΗµψ·ω,»»ΚΦΒΚ,³Ι½»ΑΏ,³Ι½»½π¶ξ,ΧάΚΠΦµ,ΑχΝ¨ΚΠΦµ
2019-04-10,'603885,ΌªΟιΊ½ΏΥ,15.69,15.9,15.09,15.33,15.45,0.24,1.5534,0.8838,15882852,245226950.0,28195141454.1,28195141454.1
2019-04-09,'603885,ΌªΟιΊ½ΏΥ,15.45,15.65,15.16,15.57,15.59,-0.14,-0.898,1.0762,19339043,297203929.0,27763858219.7,27763858219.7
2019-04-08,'603885,ΌªΟιΊ½ΏΥ,15.59,16.53,15.44,16.53,16.9,-1.31,-7.7515,1.7588,31606741,500929337.0,28015440106.4,28015440106.4
2019-04-04,'603885,ΌªΟιΊ½ΏΥ,16.9,17.8,16.62,17.8,16.18,0.72,4.4499,2.3956,43048932,741024493.0,30369527761.3,30369527761.3
2019-04-03,'603885,ΌªΟιΊ½ΏΥ,16.18,16.27,15.61,15.7,15.7,0.48,3.0573,0.9704,17438925,280122033.0,29075678057.9,29075678057.9
2019-04-02,'603885,ΌªΟιΊ½ΏΥ,15.7,16.27,15.61,15.77,15.69,0.01,0.0637,1.1248,20213015,321974037.0,28213111588.9,28213111588.9
2019-04-01,'603885,ΌªΟιΊ½ΏΥ,15.69,15.83,14.82,14.82,14.77,0.92,6.2288,1.6632,29887158,465444319.0,28195141454.1,28195141454.1
2019-03-29,'603885,ΌªΟιΊ½ΏΥ,14.77,15.1,14.29,14.3,14.14,0.63,4.4554,1.1569,20790383,306983921.0,26541889055.3,26541889055.3
2019-03-28,'603885,ΌªΟιΊ½ΏΥ,14.14,14.68,14.12,14.23,14.29,-0.15,-1.0497,0.9669,17374720,249801195.0,25409770564.8,25409770564.8
2019-03-27,'603885,ΌªΟιΊ½ΏΥ,14.29,14.47,13.21,13.21,13.15,1.14,8.6692,1.647,29597118,413893147.0,25679322586.3,25679322586.3
2019-03-26,'603885,ΌªΟιΊ½ΏΥ,13.15,13.68,13.07,13.6,13.51,-0.36,-2.6647,0.5433,9762666,130367429.0,23630727222.5,23630727222.5
2019-03-25,'603885,ΌªΟιΊ½ΏΥ,13.51,13.96,13.49,13.71,13.97,-0.46,-3.2928,0.645,11591405,158722971.0,24277652074.3,24277652074.3
2019-03-22,'603885,ΌªΟιΊ½ΏΥ,13.97,14.05,13.51,13.61,13.64,0.33,2.4194,0.9256,16633896,229310621.0,25104278273.7,25104278273.7
2019-03-21,'603885,ΌªΟιΊ½ΏΥ,13.64,13.98,13.52,13.52,13.45,0.19,1.4126,1.1303,20311290,279363497.0,24511263826.3,24511263826.3
2019-03-20,'603885,ΌªΟιΊ½ΏΥ,13.45,13.76,13.27,13.76,13.76,-0.31,-2.2529,0.7505,13487333,182056930.0,24169831265.7,24169831265.7
2019-03-19,'603885,ΌªΟιΊ½ΏΥ,13.76,14.06,13.45,13.67,13.66,0.1,0.7321,1.0419,18722440,258384103.0,24726905443.5,24726905443.5
2019-03-18,'603885,ΌªΟιΊ½ΏΥ,13.66,13.67,13.0,13.31,13.25,0.41,3.0943,0.9386,16866387,225087512.0,24547204095.8,24547204095.8
2019-03-15,'603885,ΌªΟιΊ½ΏΥ,13.25,13.56,13.18,13.4,13.36,-0.11,-0.8234,1.1011,19786036,264557946.0,23810428570.2,23810428570.2
2019-03-14,'603885,ΌªΟιΊ½ΏΥ,13.36,13.7,13.2,13.25,13.14,0.22,1.6743,1.2538,22531369,304170426.0,24008100052.7,24008100052.7
2019-03-13,'603885,ΌªΟιΊ½ΏΥ,13.14,13.38,12.93,13.05,13.02,0.12,0.9217,0.9406,16902684,223058005.0,23612757087.8,23612757087.8
2019-03-12,'603885,ΌªΟιΊ½ΏΥ,13.02,13.13,12.85,12.97,12.88,0.14,1.087,1.2629,22693623,294300144.0,23397115470.5,23397115470.5
2019-03-11,'603885,ΌªΟιΊ½ΏΥ,12.88,12.9,12.52,12.72,12.81,0.07,0.5464,1.5132,27192440,344562534.0,23145533583.8,23145533583.8
2019-03-08,'603885,ΌªΟιΊ½ΏΥ,12.81,13.44,12.68,13.3,13.51,-0.7,-5.1813,1.1309,20323309,264277027.0,23019742640.4,23019742640.4
2019-03-07,'603885,ΌªΟιΊ½ΏΥ,13.51,13.72,13.45,13.64,13.69,-0.18,-1.3148,0.7404,13304901,180348308.0,24277652074.3,24277652074.3
2019-03-06,'603885,ΌªΟιΊ½ΏΥ,13.69,13.75,13.42,13.5,13.56,0.13,0.9587,0.8829,15865467,215751584.0,24601114500.1,24601114500.1
2019-03-05,'603885,ΌªΟιΊ½ΏΥ,13.56,13.58,13.35,13.51,13.54,0.02,0.1477,0.3665,6586355,88533191.0,24367502748.1,24367502748.1
2019-03-04,'603885,ΌªΟιΊ½ΏΥ,13.54,13.74,13.5,13.53,13.53,0.01,0.0739,0.8254,14832131,201863272.0,24331562478.6,24331562478.6
2019-03-01,'603885,ΌªΟιΊ½ΏΥ,13.53,13.55,13.29,13.5,13.44,0.09,0.6696,0.3021,5429233,72884476.0,24313592343.8,24313592343.8
2019-02-28,'603885,ΌªΟιΊ½ΏΥ,13.44,13.56,13.32,13.44,13.43,0.01,0.0745,0.372,6684133,89826399.0,24151861130.9,24151861130.9
2019-02-27,'603885,ΌªΟιΊ½ΏΥ,13.43,13.73,13.32,13.7,13.68,-0.25,-1.8275,0.5988,10760272,145695247.0,24133890996.1,24133890996.1
2019-02-26,'603885,ΌªΟιΊ½ΏΥ,13.68,14.18,13.55,14.18,14.06,-0.38,-2.7027,0.8148,14641389,202279777.0,24583144365.4,24583144365.4
2019-02-25,'603885,ΌªΟιΊ½ΏΥ,14.06,14.16,13.34,13.34,13.08,0.98,7.4924,1.1962,21496689,299266280.0,25266009486.6,25266009486.6
2019-02-22,'603885,ΌªΟιΊ½ΏΥ,13.08,13.2,12.78,12.83,12.98,0.1,0.7704,0.4809,8641363,112160798.0,23504936279.2,23504936279.2
2019-02-21,'603885,ΌªΟιΊ½ΏΥ,12.98,13.26,12.81,13.05,13.05,-0.07,-0.5364,0.5165,9281977,120820407.0,23325234931.5,23325234931.5
2019-02-20,'603885,ΌªΟιΊ½ΏΥ,13.05,13.06,12.74,13.01,12.93,0.12,0.9281,0.4435,7969343,103004722.0,23451025874.8,23451025874.8
2019-02-19,'603885,ΌªΟιΊ½ΏΥ,12.93,13.19,12.86,12.99,12.99,-0.06,-0.4619,0.3382,6078294,79010677.0,23235384257.6,23235384257.6
2019-02-18,'603885,ΌªΟιΊ½ΏΥ,12.99,13.12,12.6,12.66,12.6,0.39,3.0952,0.7658,13760917,176609720.0,23343205066.2,23343205066.2
2019-02-15,'603885,ΌªΟιΊ½ΏΥ,12.6,12.95,12.56,12.8,12.9,-0.3,-2.3256,0.325,5840134,74209711.0,22642369810.2,22642369810.2
2019-02-14,'603885,ΌªΟιΊ½ΏΥ,12.9,12.96,12.73,12.75,12.85,0.05,0.3891,0.2959,5316614,68339555.0,23181473853.3,23181473853.3
2019-02-13,'603885,ΌªΟιΊ½ΏΥ,12.85,12.96,12.57,12.75,12.76,0.09,0.7053,0.4213,7570137,96962209.0,23091623179.5,23091623179.5
2019-02-12,'603885,ΌªΟιΊ½ΏΥ,12.76,12.83,12.44,12.59,12.59,0.17,1.3503,0.4404,7914699,99530095.0,22929891966.5,22929891966.5
2019-02-11,'603885,ΌªΟιΊ½ΏΥ,12.59,12.76,12.23,12.31,12.29,0.3,2.441,0.4394,7896319,98834608.0,22624399675.4,22624399675.4
2019-02-01,'603885,ΌªΟιΊ½ΏΥ,12.29,12.3,12.13,12.15,12.1,0.19,1.5702,0.3085,5543794,67799740.0,22085295632.3,22085295632.3
2019-01-31,'603885,ΌªΟιΊ½ΏΥ,12.1,12.3,12.06,12.3,12.35,-0.25,-2.0243,0.3308,5945407,72115225.0,21743863071.7,21743863071.7
2019-01-30,'603885,ΌªΟιΊ½ΏΥ,12.35,12.5,12.26,12.5,12.51,-0.16,-1.279,0.2486,4466652,55318525.0,22193116441.0,22193116441.0
2019-01-29,'603885,ΌªΟιΊ½ΏΥ,12.51,12.63,12.23,12.44,12.48,0.03,0.2404,0.3588,6448348,80185959.0,22480638597.3,22480638597.3
2019-01-28,'603885,ΌªΟιΊ½ΏΥ,12.48,12.55,12.05,12.05,11.98,0.5,4.1736,0.7629,13710271,169626326.0,22426728193.0,22426728193.0
