日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-04-10,'900937,华电Ｂ股,0.263,0.266,0.261,0.266,0.266,-0.003,-1.1278,0.1599,690800,181409.0,3471167878.32,762476979.53
2019-04-09,'900937,华电Ｂ股,0.266,0.267,0.26,0.267,0.264,0.002,0.7576,0.15,647950,171818.0,3512436983.07,771542153.972
2019-04-08,'900937,华电Ｂ股,0.264,0.276,0.261,0.266,0.264,0.0,0.0,0.3565,1540032,409888.0,3489090975.66,766413968.348
2019-04-04,'900937,华电Ｂ股,0.264,0.267,0.258,0.26,0.261,0.003,1.1494,0.3761,1624795,425401.0,3481510622.95,764748867.541
2019-04-03,'900937,华电Ｂ股,0.261,0.262,0.258,0.262,0.262,-0.001,-0.3817,0.1401,605310,157290.0,3449082903.02,757625792.308
2019-04-02,'900937,华电Ｂ股,0.262,0.265,0.262,0.263,0.263,-0.001,-0.3802,0.2117,914376,240853.0,3460597392.71,760155065.919
2019-04-01,'900937,华电Ｂ股,0.263,0.266,0.256,0.256,0.256,0.007,2.7344,0.266,1148950,301212.0,3475460933.51,763419992.334
2019-03-29,'900937,华电Ｂ股,0.256,0.259,0.247,0.251,0.25,0.006,2.4,0.2963,1279850,325500.0,3390107428.54,744671235.448
2019-03-28,'900937,华电Ｂ股,0.25,0.256,0.246,0.252,0.252,-0.002,-0.7937,0.2975,1285090,323564.0,3307111770.41,726440403.363
2019-03-27,'900937,华电Ｂ股,0.252,0.265,0.245,0.265,0.265,-0.013,-4.9057,0.5237,2262525,573377.0,3327522318.48,730923785.784
2019-03-26,'900937,华电Ｂ股,0.265,0.284,0.265,0.282,0.285,-0.02,-7.0175,0.6341,2739400,746169.0,3494020643.6,767496819.553
2019-03-25,'900937,华电Ｂ股,0.285,0.287,0.281,0.282,0.287,-0.002,-0.6969,0.1651,713400,202232.0,3760859128.36,826110579.825
2019-03-22,'900937,华电Ｂ股,0.287,0.288,0.281,0.288,0.288,-0.001,-0.3472,0.0736,318000,90660.0,3778558811.4,829998493.443
2019-03-21,'900937,华电Ｂ股,0.288,0.288,0.282,0.285,0.285,0.003,1.0526,0.1356,585650,167588.0,3786400338.57,831720963.851
2019-03-20,'900937,华电Ｂ股,0.285,0.286,0.282,0.284,0.284,0.001,0.3521,0.0763,329600,93631.0,3761027279.08,826147515.825
2019-03-19,'900937,华电Ｂ股,0.284,0.288,0.284,0.286,0.286,-0.002,-0.6993,0.1373,593000,169390.0,3745652402.74,822770269.409
2019-03-18,'900937,华电Ｂ股,0.286,0.286,0.279,0.279,0.278,0.008,2.8777,0.1686,728200,205694.0,3773492656.2,828885661.437
2019-03-15,'900937,华电Ｂ股,0.278,0.29,0.278,0.283,0.286,-0.008,-2.7972,0.5791,2501869,708840.0,3672259626.04,806648806.934
2019-03-14,'900937,华电Ｂ股,0.286,0.29,0.28,0.288,0.291,-0.005,-1.7182,0.2972,1283900,365276.0,3769049150.36,827909600.633
2019-03-13,'900937,华电Ｂ股,0.291,0.299,0.288,0.299,0.297,-0.006,-2.0202,0.2761,1192900,346924.0,3840950793.96,843703520.706
2019-03-12,'900937,华电Ｂ股,0.297,0.3,0.293,0.295,0.293,0.004,1.3652,0.4225,1825350,541840.0,3920963399.22,861279095.187
2019-03-11,'900937,华电Ｂ股,0.293,0.295,0.281,0.281,0.285,0.008,2.807,0.3582,1547500,447907.0,3872419956.41,850616039.138
