日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-08-30,'600170,上海建工,3.07,3.11,3.05,3.09,3.09,-0.02,-0.6472,0.1282,10880887,33388160.0,27336501025.0,26054813482.0
2018-08-29,'600170,上海建工,3.09,3.14,3.09,3.1,3.1,-0.01,-0.3226,0.129,10946475,34082294.0,27514588979.5,26224551680.6
2018-08-28,'600170,上海建工,3.1,3.1,3.08,3.1,3.1,0.0,0.0,0.1223,10381664,32092005.0,27603632956.8,26309420779.9
2018-08-27,'600170,上海建工,3.1,3.12,3.06,3.07,3.07,0.03,0.9772,0.1648,13987386,43219072.0,27603632956.8,26309420779.9
2018-08-24,'600170,上海建工,3.07,3.08,3.03,3.06,3.06,0.01,0.3268,0.1091,9257324,28251569.0,27336501025.0,26054813482.0
2018-08-23,'600170,上海建工,3.06,3.07,3.04,3.05,3.05,0.01,0.3279,0.0915,7769403,23760876.0,27247457047.7,25969944382.7
2018-08-22,'600170,上海建工,3.05,3.09,3.03,3.09,3.09,-0.04,-1.2945,0.1252,10621842,32420033.0,27158413070.4,25885075283.5
2018-08-21,'600170,上海建工,3.09,3.11,3.07,3.08,3.07,0.02,0.6515,0.1196,10150567,31360179.0,27514588979.5,26224551680.6
2018-08-20,'600170,上海建工,3.07,3.1,3.03,3.09,3.08,-0.01,-0.3247,0.1407,11939976,36638049.0,27336501025.0,26054813482.0
2018-08-17,'600170,上海建工,3.08,3.17,3.08,3.14,3.12,-0.04,-1.2821,0.1313,11145494,34796138.0,27425545002.2,26139682581.3
2018-08-16,'600170,上海建工,3.12,3.18,3.12,3.18,3.18,-0.06,-1.8868,0.1324,11234774,35396497.0,27781720911.4,26479158978.5
2018-08-15,'600170,上海建工,3.18,3.24,3.18,3.22,3.22,-0.04,-1.2422,0.1546,13118904,42079930.0,28315984775.0,26988373574.2
2018-08-14,'600170,上海建工,3.22,3.25,3.21,3.23,3.23,-0.01,-0.3096,0.0971,8242780,26643435.0,28672160684.2,27327849971.4
2018-08-13,'600170,上海建工,3.23,3.24,3.19,3.22,3.25,-0.02,-0.6154,0.1607,13638439,43781741.0,28761204661.4,27412719070.7
2018-08-10,'600170,上海建工,3.25,3.27,3.23,3.26,3.25,0.0,0.0,0.1093,9276804,30124768.0,28939292616.0,27582457269.2
2018-08-09,'600170,上海建工,3.25,3.27,3.22,3.22,3.23,0.02,0.6192,0.221,18758422,61043792.0,28939292616.0,27582457269.2
2018-08-08,'600170,上海建工,3.23,3.28,3.22,3.25,3.26,-0.03,-0.9202,0.2942,24971831,81143034.0,28761204661.4,27412719070.7
2018-08-07,'600170,上海建工,3.26,3.27,3.14,3.14,3.13,0.13,4.1534,0.3861,32768340,105561783.0,29028336593.3,27667326368.5
2018-08-06,'600170,上海建工,3.13,3.16,3.08,3.11,3.13,0.0,0.0,0.2085,17698638,55389884.0,27870764888.6,26564028077.8
2018-08-03,'600170,上海建工,3.13,3.15,3.1,3.12,3.14,-0.01,-0.3185,0.1283,10890349,34052549.0,27870764888.6,26564028077.8
2018-08-02,'600170,上海建工,3.14,3.19,3.08,3.18,3.19,-0.05,-1.5674,0.2631,22329467,69895073.0,27959808865.9,26648897177.1
2018-08-01,'600170,上海建工,3.19,3.26,3.18,3.22,3.21,-0.02,-0.6231,0.231,19604404,63338456.0,28405028752.3,27073242673.5
2018-07-31,'600170,上海建工,3.21,3.24,3.2,3.22,3.23,-0.02,-0.6192,0.1556,13203542,42412071.0,28583116706.9,27242980872.1
2018-07-30,'600170,上海建工,3.23,3.27,3.2,3.21,3.22,0.01,0.3106,0.2505,21262410,68809712.0,28761204661.4,27412719070.7
2018-07-27,'600170,上海建工,3.22,3.27,3.2,3.26,3.28,-0.06,-1.8293,0.2915,24737269,79863947.0,28672160684.2,27327849971.4
2018-07-26,'600170,上海建工,3.28,3.37,3.19,3.22,3.22,0.06,1.8634,0.5018,42589752,139070918.0,29206424547.8,27837064567.1
2018-07-25,'600170,上海建工,3.22,3.3,3.19,3.3,3.29,-0.07,-2.1277,0.4195,35598378,115148664.0,28672160684.2,27327849971.4
2018-07-24,'600170,上海建工,3.29,3.3,3.14,3.15,3.1,0.19,6.129,0.8135,69038635,224797124.0,29295468525.1,27921933666.4
2018-07-23,'600170,上海建工,3.1,3.13,2.99,3.01,3.01,0.09,2.99,0.3338,28327502,86788388.0,27603632956.8,26309420779.9
2018-07-20,'600170,上海建工,3.01,3.02,2.96,2.98,2.97,0.04,1.3468,0.1559,13231668,39605359.0,26802237161.3,25545598886.3
2018-07-19,'600170,上海建工,2.97,3.0,2.96,2.99,2.99,-0.02,-0.6689,0.1145,9721726,28947582.0,26446061252.2,25206122489.1
2018-07-18,'600170,上海建工,2.99,3.0,2.97,2.98,2.97,0.02,0.6734,0.1454,12338264,36858456.0,26624149206.7,25375860687.7
2018-07-17,'600170,上海建工,2.97,2.99,2.96,2.99,2.99,-0.02,-0.6689,0.1148,9741617,28923833.0,26446061252.2,25206122489.1
2018-07-16,'600170,上海建工,2.99,3.0,2.96,3.0,2.99,0.0,0.0,0.1907,16187742,48233165.0,26624149206.7,25375860687.7
2018-07-13,'600170,上海建工,2.99,3.03,2.98,3.01,3.01,-0.02,-0.6645,0.1293,10975187,32942581.0,26624149206.7,25375860687.7
2018-07-12,'600170,上海建工,3.01,3.05,2.95,2.95,2.95,0.06,2.0339,0.2151,18251324,54885974.0,26802237161.3,25545598886.3
2018-07-11,'600170,上海建工,2.95,3.0,2.94,3.0,3.01,-0.06,-1.9934,0.1438,12203839,36114551.0,26267973297.6,25036384290.5
2018-07-10,'600170,上海建工,3.01,3.02,2.97,2.98,2.98,0.03,1.0067,0.1374,11661596,34918688.0,26802237161.3,25545598886.3
2018-07-09,'600170,上海建工,2.98,2.98,2.94,2.96,2.94,0.04,1.3605,0.1574,13356244,39588905.0,26535105229.4,25290991588.4
2018-07-06,'600170,上海建工,2.94,2.97,2.9,2.92,2.92,0.02,0.6849,0.196,16630759,48864760.0,26178929320.3,24951515191.3
2018-07-05,'600170,上海建工,2.92,3.0,2.91,2.99,3.0,-0.08,-2.6667,0.1814,15394333,45587057.0,26000841365.8,24781776992.7
2018-07-04,'600170,上海建工,3.0,3.02,2.99,3.01,3.02,-0.02,-0.6623,0.1262,10708393,32147328.0,26713193184.0,25460729787.0
2018-07-03,'600170,上海建工,3.02,3.02,2.98,2.99,2.99,0.03,1.0033,0.1407,11937636,35774319.0,26891281138.6,25630467985.6
2018-07-02,'600170,上海建工,2.99,3.04,2.98,3.03,3.04,-0.05,-1.6447,0.1972,16735562,50286427.0,26624149206.7,25375860687.7
2018-06-29,'600170,上海建工,3.04,3.05,3.01,3.01,3.01,0.03,0.9967,0.1148,9739598,29536315.0,27069369093.1,25800206184.2
2018-06-28,'600170,上海建工,3.01,3.04,3.0,3.03,3.03,-0.02,-0.6601,0.1076,9129276,27573759.0,26802237161.3,25545598886.3
2018-06-27,'600170,上海建工,3.03,3.05,3.0,3.01,3.02,0.01,0.3311,0.1138,9656043,29155216.0,26980325115.8,25715337084.9
2018-06-26,'600170,上海建工,3.02,3.03,2.99,3.01,3.04,-0.02,-0.6579,0.127,10781500,32475060.0,26891281138.6,25630467985.6
2018-06-25,'600170,上海建工,3.04,3.07,3.03,3.06,3.05,-0.01,-0.3279,0.1168,9914419,30207254.0,27069369093.1,25800206184.2
2018-06-22,'600170,上海建工,3.05,3.06,2.97,2.99,3.01,0.04,1.3289,0.1523,12923643,39106031.0,27158413070.4,25885075283.5
