日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-08-30,'600688,上海石化,5.5,5.59,5.49,5.5,5.47,0.03,0.5484,0.1623,11891887,65703045.0,59530974250.0,40308474250.0
2018-08-29,'600688,上海石化,5.47,5.5,5.44,5.47,5.45,0.02,0.367,0.1432,10494673,57488626.0,59206259845.0,40088609845.0
2018-08-28,'600688,上海石化,5.45,5.45,5.37,5.4,5.39,0.06,1.1132,0.1882,13795481,74892221.0,58989783575.0,39942033575.0
2018-08-27,'600688,上海石化,5.39,5.4,5.26,5.27,5.27,0.12,2.277,0.1922,14087078,75479659.0,58340354765.0,39502304765.0
2018-08-24,'600688,上海石化,5.27,5.29,5.22,5.26,5.26,0.01,0.1901,0.1653,12116849,63836781.0,57041497145.0,38622847145.0
2018-08-23,'600688,上海石化,5.26,5.3,5.22,5.23,5.21,0.05,0.9597,0.1482,10861927,57221680.0,56933259010.0,38549559010.0
2018-08-22,'600688,上海石化,5.21,5.25,5.19,5.23,5.19,0.02,0.3854,0.1407,10309656,53837056.0,56392068335.0,38183118335.0
2018-08-21,'600688,上海石化,5.19,5.24,5.17,5.2,5.2,-0.01,-0.1923,0.1128,8268024,43036278.0,56175592065.0,38036542065.0
2018-08-20,'600688,上海石化,5.2,5.22,5.14,5.16,5.17,0.03,0.5803,0.0673,4934756,25567297.0,56283830200.0,38109830200.0
2018-08-17,'600688,上海石化,5.17,5.26,5.17,5.25,5.21,-0.04,-0.7678,0.0752,5511526,28676205.0,55959115795.0,37889965795.0
2018-08-16,'600688,上海石化,5.21,5.28,5.2,5.24,5.3,-0.09,-1.6981,0.0911,6679500,34948826.0,56392068335.0,38183118335.0
2018-08-15,'600688,上海石化,5.3,5.37,5.28,5.37,5.39,-0.09,-1.6698,0.0953,6985067,37195879.0,57366211550.0,38842711550.0
2018-08-14,'600688,上海石化,5.39,5.39,5.33,5.37,5.37,0.02,0.3724,0.0745,5460259,29281721.0,58340354765.0,39502304765.0
2018-08-13,'600688,上海石化,5.37,5.39,5.31,5.34,5.36,0.01,0.1866,0.0799,5857102,31379645.0,58123878495.0,39355728495.0
2018-08-10,'600688,上海石化,5.36,5.42,5.34,5.41,5.4,-0.04,-0.7407,0.1163,8522157,45809007.0,58015640360.0,39282440360.0
2018-08-09,'600688,上海石化,5.4,5.41,5.28,5.32,5.4,0.0,0.0,0.1632,11964135,64190267.0,58448592900.0,39575592900.0
2018-08-08,'600688,上海石化,5.4,5.48,5.32,5.33,5.36,0.04,0.7463,0.2103,15410228,83636245.0,58448592900.0,39575592900.0
2018-08-07,'600688,上海石化,5.36,5.38,5.18,5.2,5.16,0.2,3.876,0.2322,17015041,90527015.0,58015640360.0,39282440360.0
2018-08-06,'600688,上海石化,5.16,5.28,5.13,5.19,5.24,-0.08,-1.5267,0.0862,6317776,32833198.0,55850877660.0,37816677660.0
2018-08-03,'600688,上海石化,5.24,5.31,5.22,5.26,5.25,-0.01,-0.1905,0.0709,5192859,27353179.0,56716782740.0,38402982740.0
2018-08-02,'600688,上海石化,5.25,5.36,5.19,5.33,5.35,-0.1,-1.8692,0.1232,9027677,47481005.0,56825020875.0,38476270875.0
2018-08-01,'600688,上海石化,5.35,5.41,5.34,5.37,5.4,-0.05,-0.9259,0.1443,10573004,56904201.0,57907402225.0,39209152225.0
2018-07-31,'600688,上海石化,5.4,5.41,5.3,5.36,5.35,0.05,0.9346,0.151,11062860,59418580.0,58448592900.0,39575592900.0
2018-07-30,'600688,上海石化,5.35,5.42,5.31,5.34,5.34,0.01,0.1873,0.1053,7717767,41363193.0,57907402225.0,39209152225.0
2018-07-27,'600688,上海石化,5.34,5.37,5.32,5.34,5.34,0.0,0.0,0.0658,4823093,25801975.0,57799164090.0,39135864090.0
2018-07-26,'600688,上海石化,5.34,5.4,5.31,5.4,5.36,-0.02,-0.3731,0.0944,6920180,36978298.0,57799164090.0,39135864090.0
2018-07-25,'600688,上海石化,5.36,5.42,5.35,5.38,5.35,0.01,0.1869,0.147,10770077,57936605.0,58015640360.0,39282440360.0
2018-07-24,'600688,上海石化,5.35,5.37,5.26,5.28,5.29,0.06,1.1342,0.1466,10744159,57290623.0,57907402225.0,39209152225.0
2018-07-23,'600688,上海石化,5.29,5.29,5.21,5.24,5.24,0.05,0.9542,0.093,6815048,35810950.0,57257973415.0,38769423415.0
2018-07-20,'600688,上海石化,5.24,5.25,5.17,5.23,5.2,0.04,0.7692,0.0773,5663054,29555961.0,56716782740.0,38402982740.0
2018-07-19,'600688,上海石化,5.2,5.25,5.18,5.24,5.21,-0.01,-0.1919,0.0671,4917259,25592703.0,56283830200.0,38109830200.0
2018-07-18,'600688,上海石化,5.21,5.26,5.19,5.2,5.21,0.0,0.0,0.0799,5856323,30645201.0,56392068335.0,38183118335.0
2018-07-17,'600688,XD上海石,5.21,5.24,5.16,5.21,5.31,-0.1,-1.8832,0.1519,11135411,57905876.0,56392068335.0,38183118335.0
2018-07-16,'600688,上海石化,5.61,5.66,5.58,5.63,5.58,0.03,0.5376,0.1656,12139209,68159186.0,60721593735.0,41114643735.0
2018-07-13,'600688,上海石化,5.58,5.59,5.52,5.52,5.52,0.06,1.087,0.1066,7814495,43474162.0,60396879330.0,40894779330.0
2018-07-12,'600688,上海石化,5.52,5.53,5.42,5.44,5.47,0.05,0.9141,0.1052,7707057,42370636.0,59747450520.0,40455050520.0
