日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-08-30,'600795,国电电力,2.58,2.61,2.58,2.6,2.59,-0.01,-0.3861,0.1581,31059688,80455915.0,50698026440.1,50698026440.1
2018-08-29,'600795,国电电力,2.59,2.61,2.58,2.59,2.58,0.01,0.3876,0.1682,33054178,85673686.0,50894530418.6,50894530418.6
2018-08-28,'600795,国电电力,2.58,2.6,2.58,2.59,2.6,-0.02,-0.7692,0.1379,27104426,70143246.0,50698026440.1,50698026440.1
2018-08-27,'600795,国电电力,2.6,2.6,2.56,2.57,2.57,0.03,1.1673,0.1688,33161909,85693584.0,51091034397.0,51091034397.0
2018-08-24,'600795,国电电力,2.57,2.58,2.55,2.57,2.57,0.0,0.0,0.1357,26665566,68397659.0,50501522461.7,50501522461.7
2018-08-23,'600795,国电电力,2.57,2.58,2.56,2.56,2.57,0.0,0.0,0.1206,23707771,60929683.0,50501522461.7,50501522461.7
2018-08-22,'600795,国电电力,2.57,2.58,2.55,2.58,2.58,-0.01,-0.3876,0.1538,30219967,77464138.0,50501522461.7,50501522461.7
2018-08-21,'600795,国电电力,2.58,2.59,2.55,2.56,2.57,0.01,0.3891,0.1388,27268238,70170448.0,50698026440.1,50698026440.1
2018-08-20,'600795,国电电力,2.57,2.57,2.53,2.55,2.55,0.02,0.7843,0.1593,31298820,79760575.0,50501522461.7,50501522461.7
2018-08-17,'600795,国电电力,2.55,2.59,2.54,2.58,2.58,-0.03,-1.1628,0.186,36548766,93732413.0,50108514504.8,50108514504.8
2018-08-16,'600795,国电电力,2.58,2.6,2.56,2.58,2.6,-0.02,-0.7692,0.1931,37946496,97786905.0,50698026440.1,50698026440.1
2018-08-15,'600795,国电电力,2.6,2.63,2.59,2.62,2.62,-0.02,-0.7634,0.1532,30111496,78562601.0,51091034397.0,51091034397.0
2018-08-14,'600795,国电电力,2.62,2.63,2.6,2.63,2.63,-0.01,-0.3802,0.1334,26213307,68570943.0,51484042353.9,51484042353.9
2018-08-13,'600795,国电电力,2.63,2.64,2.58,2.61,2.63,0.0,0.0,0.1568,30821159,80275249.0,51680546332.3,51680546332.3
2018-08-10,'600795,国电电力,2.63,2.69,2.61,2.69,2.7,-0.07,-2.5926,0.3592,70593872,186770234.0,51680546332.3,51680546332.3
2018-08-09,'600795,国电电力,2.7,2.71,2.66,2.68,2.69,0.01,0.3717,0.1866,36667514,98667506.0,53056074181.5,53056074181.5
2018-08-08,'600795,国电电力,2.69,2.71,2.68,2.69,2.69,0.0,0.0,0.1384,27190339,73230331.0,52859570203.1,52859570203.1
2018-08-07,'600795,国电电力,2.69,2.7,2.62,2.62,2.64,0.05,1.8939,0.1785,35076312,93377057.0,52859570203.1,52859570203.1
2018-08-06,'600795,国电电力,2.64,2.68,2.63,2.67,2.68,-0.04,-1.4925,0.15,29465849,78023845.0,51877050310.8,51877050310.8
2018-08-03,'600795,国电电力,2.68,2.7,2.66,2.67,2.68,0.0,0.0,0.1259,24731559,66210209.0,52663066224.6,52663066224.6
2018-08-02,'600795,国电电力,2.68,2.73,2.64,2.72,2.72,-0.04,-1.4706,0.2543,49967804,134021046.0,52663066224.6,52663066224.6
2018-08-01,'600795,国电电力,2.72,2.78,2.72,2.76,2.78,-0.06,-2.1583,0.1932,37963000,104317406.0,53449082138.4,53449082138.4
2018-07-31,'600795,国电电力,2.78,2.78,2.76,2.78,2.77,0.01,0.361,0.1306,25669196,71132881.0,54628106009.1,54628106009.1
2018-07-30,'600795,国电电力,2.77,2.8,2.72,2.73,2.72,0.05,1.8382,0.2839,55789150,154794143.0,54431602030.7,54431602030.7
2018-07-27,'600795,国电电力,2.72,2.77,2.72,2.75,2.75,-0.03,-1.0909,0.1667,32753583,90027360.0,53449082138.4,53449082138.4
2018-07-26,'600795,国电电力,2.75,2.77,2.72,2.72,2.72,0.03,1.1029,0.1818,35717248,98162784.0,54038594073.8,54038594073.8
2018-07-25,'600795,国电电力,2.72,2.75,2.71,2.75,2.75,-0.03,-1.0909,0.1449,28468831,77643786.0,53449082138.4,53449082138.4
2018-07-24,'600795,国电电力,2.75,2.76,2.71,2.73,2.73,0.02,0.7326,0.2922,57410241,157228150.0,54038594073.8,54038594073.8
2018-07-23,'600795,国电电力,2.73,2.75,2.69,2.7,2.71,0.02,0.738,0.2746,53953951,147304002.0,53645586116.8,53645586116.8
2018-07-20,'600795,国电电力,2.71,2.73,2.62,2.63,2.63,0.08,3.0418,0.5262,103392376,279813814.0,53252578159.9,53252578159.9
2018-07-19,'600795,国电电力,2.63,2.66,2.62,2.65,2.67,-0.04,-1.4981,0.1967,38653474,101972804.0,51680546332.3,51680546332.3
2018-07-18,'600795,国电电力,2.67,2.7,2.56,2.57,2.57,0.1,3.8911,0.5251,103177509,273457402.0,52466562246.2,52466562246.2
2018-07-17,'600795,国电电力,2.57,2.57,2.55,2.57,2.57,0.0,0.0,0.0675,13261704,33954994.0,50501522461.7,50501522461.7
2018-07-16,'600795,国电电力,2.57,2.58,2.56,2.57,2.57,0.0,0.0,0.0712,13990891,35932647.0,50501522461.7,50501522461.7
2018-07-13,'600795,国电电力,2.57,2.59,2.57,2.59,2.59,-0.02,-0.7722,0.082,16121136,41574597.0,50501522461.7,50501522461.7
2018-07-12,'600795,国电电力,2.59,2.6,2.54,2.55,2.55,0.04,1.5686,0.1588,31200443,80558407.0,50894530418.6,50894530418.6
2018-07-11,'600795,国电电力,2.55,2.59,2.53,2.58,2.59,-0.04,-1.5444,0.1233,24234490,61900928.0,50108514504.8,50108514504.8
2018-07-10,'600795,XD国电电,2.59,2.61,2.58,2.6,2.59,0.0,0.0,0.1117,21953202,56854943.0,50894530418.6,50894530418.6
2018-07-09,'600795,国电电力,2.67,2.67,2.62,2.62,2.63,0.04,1.5209,0.1788,35142571,93215137.0,52466562246.2,52466562246.2
2018-07-06,'600795,国电电力,2.63,2.64,2.57,2.6,2.6,0.03,1.1538,0.1575,30948123,80814176.0,51680546332.3,51680546332.3
2018-07-05,'600795,国电电力,2.6,2.65,2.58,2.64,2.65,-0.05,-1.8868,0.1385,27222839,71222908.0,51091034397.0,51091034397.0
2018-07-04,'600795,国电电力,2.65,2.66,2.63,2.63,2.64,0.01,0.3788,0.1174,23077989,61060740.0,52073554289.2,52073554289.2
2018-07-03,'600795,国电电力,2.64,2.65,2.61,2.63,2.63,0.01,0.3802,0.1577,30980218,81535259.0,51877050310.8,51877050310.8
2018-07-02,'600795,国电电力,2.63,2.68,2.6,2.61,2.62,0.01,0.3817,0.2301,45209207,119493679.0,51680546332.3,51680546332.3
2018-06-29,'600795,国电电力,2.62,2.63,2.58,2.59,2.6,0.02,0.7692,0.1325,26033413,67915943.0,51484042353.9,51484042353.9
2018-06-28,'600795,国电电力,2.6,2.61,2.57,2.57,2.58,0.02,0.7752,0.1366,26847013,69495603.0,51091034397.0,51091034397.0
2018-06-27,'600795,国电电力,2.58,2.58,2.56,2.58,2.58,0.0,0.0,0.1215,23878562,61451247.0,50698026440.1,50698026440.1
2018-06-26,'600795,国电电力,2.58,2.58,2.54,2.57,2.59,-0.01,-0.3861,0.1751,34406916,88285192.0,50698026440.1,50698026440.1
2018-06-25,'600795,国电电力,2.59,2.63,2.59,2.62,2.62,-0.03,-1.145,0.1251,24589200,64253778.0,50894530418.6,50894530418.6
2018-06-22,'600795,国电电力,2.62,2.62,2.59,2.61,2.61,0.01,0.3831,0.1136,22322579,58192484.0,51484042353.9,51484042353.9
2018-06-21,'600795,国电电力,2.61,2.64,2.6,2.61,2.61,0.0,0.0,0.2242,44057085,115403326.0,51287538375.4,51287538375.4
2018-06-20,'600795,国电电力,2.61,2.63,2.57,2.58,2.6,0.01,0.3846,0.1725,33898727,88306912.0,51287538375.4,51287538375.4
2018-06-19,'600795,国电电力,2.6,2.74,2.54,2.74,2.76,-0.16,-5.7971,0.4081,80187305,211936903.0,51091034397.0,51091034397.0
2018-06-15,'600795,国电电力,2.76,2.78,2.74,2.78,2.79,-0.03,-1.0753,0.1656,32537848,89707141.0,54235098052.2,54235098052.2
2018-06-14,'600795,国电电力,2.79,2.79,2.76,2.78,2.79,0.0,0.0,0.1022,20075605,55765295.0,54824609987.6,54824609987.6
2018-06-13,'600795,国电电力,2.79,2.79,2.77,2.78,2.78,0.01,0.3597,0.1565,30751341,85460571.0,54824609987.6,54824609987.6
2018-06-12,'600795,国电电力,2.78,2.79,2.77,2.78,2.79,-0.01,-0.3584,0.1083,21275871,59111294.0,54628106009.1,54628106009.1
2018-06-11,'600795,国电电力,2.79,2.79,2.76,2.78,2.79,0.0,0.0,0.1448,28454496,79010652.0,54824609987.6,54824609987.6
2018-06-08,'600795,国电电力,2.79,2.83,2.77,2.82,2.82,-0.03,-1.0638,0.2058,40433983,113132134.0,54824609987.6,54824609987.6
2018-06-07,'600795,国电电力,2.82,2.85,2.82,2.84,2.85,-0.03,-1.0526,0.1089,21408728,60696415.0,55414121922.9,55414121922.9
2018-06-06,'600795,国电电力,2.85,2.85,2.83,2.84,2.85,0.0,0.0,0.1145,22497624,63801333.0,56003633858.2,56003633858.2
2018-06-05,'600795,国电电力,2.85,2.85,2.82,2.83,2.83,0.02,0.7067,0.1278,25115134,71179893.0,56003633858.2,56003633858.2
2018-06-04,'600795,国电电力,2.83,2.84,2.82,2.84,2.84,-0.01,-0.3521,0.1092,21462067,60754501.0,55610625901.3,55610625901.3
2018-06-01,'600795,国电电力,2.84,2.84,2.82,2.83,2.84,0.0,0.0,0.1337,26275892,74313221.0,55807129879.8,55807129879.8
2018-05-31,'600795,国电电力,2.84,2.85,2.82,2.83,2.82,0.02,0.7092,0.1441,28316559,80369387.0,55807129879.8,55807129879.8
2018-05-30,'600795,国电电力,2.82,2.86,2.81,2.86,2.87,-0.05,-1.7422,0.2115,41560195,117906215.0,55414121922.9,55414121922.9
2018-05-29,'600795,国电电力,2.87,2.89,2.86,2.87,2.88,-0.01,-0.3472,0.131,25732962,74012644.0,56396641815.2,56396641815.2
2018-05-28,'600795,国电电力,2.88,2.91,2.88,2.91,2.91,-0.03,-1.0309,0.1722,33841742,97753328.0,56593145793.6,56593145793.6
2018-05-25,'600795,国电电力,2.91,2.93,2.89,2.93,2.93,-0.02,-0.6826,0.2705,53157142,154495498.0,57182657728.9,57182657728.9
2018-05-24,'600795,国电电力,2.93,2.98,2.93,2.97,2.98,-0.05,-1.6779,0.3425,67303499,198598773.0,57575665685.8,57575665685.8
2018-05-23,'600795,国电电力,2.98,3.01,2.92,2.92,2.92,0.06,2.0548,0.6528,128275566,381352345.0,58558185578.1,58558185578.1
2018-05-22,'600795,国电电力,2.92,2.94,2.91,2.93,2.93,-0.01,-0.3413,0.1501,29495500,86203025.0,57379161707.4,57379161707.4
2018-05-21,'600795,国电电力,2.93,2.94,2.91,2.91,2.91,0.02,0.6873,0.2695,52967292,155174367.0,57575665685.8,57575665685.8
2018-05-18,'600795,国电电力,2.91,2.91,2.88,2.9,2.9,0.01,0.3448,0.1575,30951937,89716354.0,57182657728.9,57182657728.9
2018-05-17,'600795,国电电力,2.9,2.91,2.89,2.9,2.91,-0.01,-0.3436,0.1411,27727673,80354757.0,56986153750.5,56986153750.5
2018-05-16,'600795,国电电力,2.91,2.92,2.87,2.88,2.89,0.02,0.692,0.2743,53898231,156303483.0,57182657728.9,57182657728.9
2018-05-15,'600795,国电电力,2.89,2.9,2.86,2.87,2.87,0.02,0.6969,0.1656,32549816,93620133.0,56789649772.1,56789649772.1
2018-05-14,'600795,国电电力,2.87,2.89,2.86,2.89,2.88,-0.01,-0.3472,0.1624,31903000,91768173.0,56396641815.2,56396641815.2
2018-05-11,'600795,国电电力,2.88,2.9,2.88,2.9,2.89,-0.01,-0.346,0.1476,29010481,83721626.0,56593145793.6,56593145793.6
2018-05-10,'600795,国电电力,2.89,2.91,2.89,2.9,2.9,-0.01,-0.3448,0.1652,32464905,93978560.0,56789649772.1,56789649772.1
2018-05-09,'600795,国电电力,2.9,2.91,2.88,2.9,2.91,-0.01,-0.3436,0.1323,26000901,75170819.0,56986153750.5,56986153750.5
2018-05-08,'600795,国电电力,2.91,2.92,2.89,2.91,2.91,0.0,0.0,0.1491,29294158,85010957.0,57182657728.9,57182657728.9
2018-05-07,'600795,国电电力,2.91,2.92,2.89,2.9,2.9,0.01,0.3448,0.1493,29334145,85235207.0,57182657728.9,57182657728.9
2018-05-04,'600795,国电电力,2.9,2.91,2.88,2.9,2.9,0.0,0.0,0.1311,25753214,74463418.0,56986153750.5,56986153750.5
2018-05-03,'600795,国电电力,2.9,2.91,2.85,2.85,2.86,0.04,1.3986,0.3169,62266142,179407054.0,56986153750.5,56986153750.5
2018-05-02,'600795,国电电力,2.86,2.86,2.83,2.84,2.84,0.02,0.7042,0.2455,48251481,137163778.0,56200137836.7,56200137836.7
2018-04-27,'600795,国电电力,2.84,2.85,2.82,2.83,2.82,0.02,0.7092,0.1872,36791795,104223288.0,55807129879.8,55807129879.8
2018-04-26,'600795,国电电力,2.82,2.86,2.82,2.85,2.85,-0.03,-1.0526,0.1907,37466029,106474884.0,55414121922.9,55414121922.9
2018-04-25,'600795,国电电力,2.85,2.86,2.84,2.85,2.86,-0.01,-0.3497,0.1402,27556040,78501283.0,56003633858.2,56003633858.2
2018-04-24,'600795,国电电力,2.86,2.87,2.84,2.84,2.85,0.01,0.3509,0.2745,53948350,154065040.0,56200137836.7,56200137836.7
2018-04-23,'600795,国电电力,2.85,2.87,2.83,2.85,2.85,0.0,0.0,0.1589,31224960,88934474.0,56003633858.2,56003633858.2
2018-04-20,'600795,国电电力,2.85,2.88,2.84,2.87,2.89,-0.04,-1.3841,0.1633,32090244,91794718.0,56003633858.2,56003633858.2
2018-04-19,'600795,国电电力,2.89,2.9,2.86,2.87,2.87,0.02,0.6969,0.1775,34872487,100601886.0,56789649772.1,56789649772.1
2018-04-18,'600795,国电电力,2.87,2.89,2.85,2.88,2.87,0.0,0.0,0.1387,27264834,78087333.0,56396641815.2,56396641815.2
2018-04-17,'600795,国电电力,2.87,2.89,2.86,2.89,2.88,-0.01,-0.3472,0.1475,28990432,83392309.0,56396641815.2,56396641815.2
2018-04-16,'600795,国电电力,2.88,2.92,2.86,2.92,2.92,-0.04,-1.3699,0.2248,44180400,127593862.0,56593145793.6,56593145793.6
2018-04-13,'600795,国电电力,2.92,2.95,2.92,2.94,2.94,-0.02,-0.6803,0.1027,20174901,59161638.0,57379161707.4,57379161707.4
2018-04-12,'600795,国电电力,2.94,2.95,2.93,2.94,2.94,0.0,0.0,0.129,25351800,74485878.0,57772169664.3,57772169664.3
2018-04-11,'600795,国电电力,2.94,2.95,2.91,2.93,2.92,0.02,0.6849,0.2582,50743028,148794615.0,57772169664.3,57772169664.3
2018-04-10,'600795,国电电力,2.92,2.92,2.88,2.89,2.89,0.03,1.0381,0.1428,28058781,81554844.0,57379161707.4,57379161707.4
2018-04-09,'600795,国电电力,2.89,2.91,2.88,2.91,2.91,-0.02,-0.6873,0.2127,41788084,120892569.0,56789649772.1,56789649772.1
2018-04-04,'600795,国电电力,2.91,2.94,2.91,2.93,2.93,-0.02,-0.6826,0.1757,34524688,100972148.0,57182657728.9,57182657728.9
2018-04-03,'600795,国电电力,2.93,2.94,2.92,2.93,2.95,-0.02,-0.678,0.1527,29997178,87812481.0,57575665685.8,57575665685.8
2018-04-02,'600795,国电电力,2.95,2.97,2.94,2.97,2.97,-0.02,-0.6734,0.2422,47583737,140495159.0,57968673642.8,57968673642.8
2018-03-30,'600795,国电电力,2.97,2.99,2.95,2.98,2.98,-0.01,-0.3356,0.2024,39777690,117875381.0,58361681599.7,58361681599.7
2018-03-29,'600795,国电电力,2.98,2.98,2.95,2.98,2.96,0.02,0.6757,0.1607,31576521,93669941.0,58558185578.1,58558185578.1
2018-03-28,'600795,国电电力,2.96,2.98,2.95,2.97,2.99,-0.03,-1.0033,0.1771,34803153,103102582.0,58165177621.2,58165177621.2
2018-03-27,'600795,国电电力,2.99,3.01,2.97,2.99,2.97,0.02,0.6734,0.2661,52282125,156240603.0,58754689556.6,58754689556.6
2018-03-26,'600795,国电电力,2.97,2.98,2.91,2.95,2.97,0.0,0.0,0.2223,43677479,128412945.0,58361681599.7,58361681599.7
2018-03-23,'600795,国电电力,2.97,3.02,2.95,3.01,3.04,-0.07,-2.3026,0.4169,81929650,244617471.0,58361681599.7,58361681599.7
2018-03-22,'600795,国电电力,3.04,3.08,3.04,3.06,3.06,-0.02,-0.6536,0.2053,40340716,123183778.0,59737209448.8,59737209448.8
2018-03-21,'600795,国电电力,3.06,3.1,3.06,3.08,3.08,-0.02,-0.6494,0.1726,33920032,104468264.0,60130217405.7,60130217405.7
2018-03-20,'600795,国电电力,3.08,3.09,3.05,3.07,3.07,0.01,0.3257,0.1557,30587801,93902975.0,60523225362.6,60523225362.6
2018-03-19,'600795,国电电力,3.07,3.09,3.07,3.08,3.08,-0.01,-0.3247,0.1459,28677202,88230012.0,60326721384.2,60326721384.2
2018-03-16,'600795,国电电力,3.08,3.12,3.07,3.1,3.11,-0.03,-0.9646,0.1849,36335995,112411921.0,60523225362.6,60523225362.6
2018-03-15,'600795,国电电力,3.11,3.14,3.09,3.12,3.12,-0.01,-0.3205,0.2162,42486978,132341476.0,61112737297.9,61112737297.9
2018-03-14,'600795,国电电力,3.12,3.15,3.11,3.11,3.11,0.01,0.3215,0.1603,31496250,98470731.0,61309241276.4,61309241276.4
2018-03-13,'600795,国电电力,3.11,3.15,3.11,3.15,3.16,-0.05,-1.5823,0.2439,47935125,149726267.0,61112737297.9,61112737297.9
2018-03-12,'600795,国电电力,3.16,3.17,3.14,3.16,3.16,0.0,0.0,0.2501,49144119,154747353.0,62095257190.2,62095257190.2
2018-03-09,'600795,国电电力,3.16,3.18,3.15,3.17,3.18,-0.02,-0.6289,0.2571,50529911,159663368.0,62095257190.2,62095257190.2
2018-03-08,'600795,国电电力,3.18,3.23,3.1,3.11,3.12,0.06,1.9231,0.5913,116183337,369748277.0,62488265147.1,62488265147.1
2018-03-07,'600795,国电电力,3.12,3.16,3.07,3.09,3.1,0.02,0.6452,0.3969,77996773,243314174.0,61309241276.4,61309241276.4
2018-03-06,'600795,国电电力,3.1,3.1,3.07,3.08,3.09,0.01,0.3236,0.2045,40176614,124126121.0,60916233319.5,60916233319.5
2018-03-05,'600795,国电电力,3.09,3.1,3.05,3.08,3.09,0.0,0.0,0.2779,54606430,167619701.0,60719729341.1,60719729341.1
2018-03-02,'600795,国电电力,3.09,3.12,3.01,3.02,3.02,0.07,2.3179,0.5451,107110550,329523553.0,60719729341.1,60719729341.1
2018-03-01,'600795,国电电力,3.02,3.02,2.98,2.99,3.0,0.02,0.6667,0.2318,45542290,136911204.0,59344201491.9,59344201491.9
2018-02-28,'600795,国电电力,3.0,3.01,2.98,3.0,3.01,-0.01,-0.3322,0.1572,30895423,92552340.0,58951193535.0,58951193535.0
2018-02-27,'600795,国电电力,3.01,3.04,3.0,3.03,3.03,-0.02,-0.6601,0.2101,41285422,124245809.0,59147697513.4,59147697513.4
2018-02-26,'600795,国电电力,3.03,3.04,2.99,3.01,3.01,0.02,0.6645,0.3361,66053038,198999474.0,59540705470.3,59540705470.3
2018-02-23,'600795,国电电力,3.01,3.02,2.99,3.0,3.0,0.01,0.3333,0.2232,43855200,131815490.0,59147697513.4,59147697513.4
2018-02-22,'600795,国电电力,3.0,3.02,2.99,3.0,2.99,0.01,0.3344,0.2245,44109078,132348853.0,58951193535.0,58951193535.0
2018-02-14,'600795,国电电力,2.99,3.0,2.98,2.99,2.98,0.01,0.3356,0.0848,16672669,49854623.0,58754689556.6,58754689556.6
2018-02-13,'600795,国电电力,2.98,3.01,2.98,3.0,2.99,-0.01,-0.3344,0.1583,31104859,93147950.0,58558185578.1,58558185578.1
2018-02-12,'600795,国电电力,2.99,3.0,2.96,2.97,2.97,0.02,0.6734,0.1565,30746342,91739408.0,58754689556.6,58754689556.6
2018-02-09,'600795,国电电力,2.97,3.04,2.94,3.04,3.07,-0.1,-3.2573,0.4771,93755126,279649008.0,58361681599.7,58361681599.7
2018-02-08,'600795,国电电力,3.07,3.09,3.05,3.08,3.08,-0.01,-0.3247,0.208,40868822,125263405.0,60326721384.2,60326721384.2
2018-02-07,'600795,国电电力,3.08,3.12,3.06,3.1,3.07,0.01,0.3257,0.2677,52601106,162435033.0,60523225362.6,60523225362.6
2018-02-06,'600795,国电电力,3.07,3.16,3.06,3.07,3.09,-0.02,-0.6472,0.4081,80193797,249365618.0,60326721384.2,60326721384.2
2018-02-05,'600795,国电电力,3.09,3.1,3.05,3.07,3.1,-0.01,-0.3226,0.1657,32557172,100388894.0,60719729341.1,60719729341.1
2018-02-02,'600795,国电电力,3.1,3.11,3.03,3.06,3.06,0.04,1.3072,0.2473,48587327,149330079.0,60916233319.5,60916233319.5
2018-02-01,'600795,国电电力,3.06,3.13,3.05,3.12,3.12,-0.06,-1.9231,0.347,68192554,210202739.0,60130217405.7,60130217405.7
2018-01-31,'600795,国电电力,3.12,3.18,3.1,3.17,3.19,-0.07,-2.1944,0.3784,74347429,232812219.0,61309241276.4,61309241276.4
2018-01-30,'600795,国电电力,3.19,3.25,3.18,3.24,3.25,-0.06,-1.8462,0.2991,58778501,188554591.0,62684769125.6,62684769125.6
2018-01-29,'600795,国电电力,3.25,3.28,3.22,3.23,3.23,0.02,0.6192,0.3309,65025337,211830371.0,63863792996.2,63863792996.2
2018-01-26,'600795,国电电力,3.23,3.25,3.21,3.25,3.25,-0.02,-0.6154,0.2577,50633728,163536160.0,63470785039.3,63470785039.3
2018-01-25,'600795,国电电力,3.25,3.28,3.22,3.22,3.23,0.02,0.6192,0.3892,76473465,249112061.0,63863792996.2,63863792996.2
2018-01-24,'600795,国电电力,3.23,3.24,3.2,3.21,3.21,0.02,0.6231,0.2627,51628029,166421957.0,63470785039.3,63470785039.3
