ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2019-04-09,'200168,Ë´†´B,1.56,1.6,1.53,1.58,1.57,-0.01,-0.6369,0.3905,603640,945641.2,425381083.92,206381924.19
2019-04-08,'200168,Ë´†´B,1.57,1.64,1.54,1.6,1.62,-0.05,-3.0864,0.4236,654781,1035905.36,428237938.26,207767982.758
2019-04-04,'200168,Ë´†´B,1.62,1.64,1.58,1.63,1.63,-0.01,-0.6135,0.3608,557661,898873.21,440921244.96,213921536.22
2019-04-03,'200168,Ë´†´B,1.63,1.64,1.56,1.64,1.63,0.0,0.0,0.5266,814033,1296008.82,444562173.9,215688003.863
2019-04-02,'200168,Ë´†´B,1.63,1.63,1.48,1.49,1.48,0.15,10.1351,1.5744,2433565,3887810.87,444338867.16,215579662.245
2019-04-01,'200168,Ë´†´B,1.48,1.52,1.43,1.43,1.46,0.02,1.3699,0.4508,696901,1031899.48,403627968.0,195827976.0
2019-03-29,'200168,Ë´†´B,1.46,1.49,1.39,1.39,1.44,0.02,1.3889,0.5179,800611,1171177.36,399006165.24,193585618.305
2019-03-28,'200168,Ë´†´B,1.44,1.44,1.41,1.42,1.43,0.01,0.6993,0.0993,153500,219357.0,393127421.76,190733431.32
2019-03-27,'200168,Ë´†´B,1.43,1.43,1.39,1.39,1.41,0.02,1.4184,0.116,179380,253794.0,389727641.16,189083961.495
2019-03-26,'200168,Ë´†´B,1.41,1.46,1.39,1.46,1.43,-0.02,-1.3986,0.3045,470700,659166.0,383724356.94,186171351.143
2019-03-25,'200168,Ë´†´B,1.43,1.44,1.39,1.4,1.45,-0.02,-1.3793,0.1303,201340,283589.0,389604629.7,189024280.088
2019-03-22,'200168,Ë´†´B,1.45,1.48,1.41,1.48,1.46,-0.01,-0.6849,0.142,219528,312920.48,394143564.6,191226432.825
2019-03-21,'200168,Ë´†´B,1.46,1.47,1.4,1.44,1.44,0.02,1.3889,0.2195,339300,489634.0,396168713.64,192208973.355
2019-03-20,'200168,Ë´†´B,1.44,1.45,1.39,1.4,1.41,0.03,2.1277,0.4506,696580,990730.6,392173151.04,190270448.28
2019-03-19,'200168,Ë´†´B,1.41,1.42,1.37,1.38,1.39,0.02,1.4388,0.2322,359000,501185.0,383787248.58,186201864.248
2019-03-18,'200168,Ë´†´B,1.39,1.39,1.36,1.39,1.4,-0.01,-0.7143,0.2851,440730,606911.42,378494028.18,183633755.198
2019-03-15,'200168,Ë´†´B,1.4,1.41,1.32,1.33,1.37,0.03,2.1898,0.2395,370200,509425.0,381658586.4,185169102.3
2019-03-14,'200168,Ë´†´B,1.37,1.42,1.31,1.4,1.43,-0.06,-4.1958,0.2468,381545,517377.6,372607224.12,180777657.465
2019-03-13,'200168,Ë´†´B,1.43,1.46,1.4,1.46,1.47,-0.04,-2.7211,0.5667,876000,1243833.0,389527178.04,188986702.905
2019-03-12,'200168,Ë´†´B,1.47,1.51,1.44,1.48,1.46,0.01,0.6849,0.3352,518160,761946.4,400507344.72,194313944.79
2019-03-11,'200168,Ë´†´B,1.46,1.46,1.41,1.45,1.42,0.04,2.8169,0.2888,446400,641768.0,398215400.04,193201963.155
2019-03-08,'200168,Ë´†´B,1.42,1.47,1.39,1.45,1.48,-0.06,-4.0541,0.6544,1011561,1448984.44,387499926.24,188003142.18
2019-03-07,'200168,Ë´†´B,1.48,1.5,1.37,1.37,1.4,0.08,5.7143,0.8137,1257841,1819878.62,403128148.32,195585478.74
2019-03-06,'200168,Ë´†´B,1.4,1.41,1.37,1.41,1.41,-0.01,-0.7092,0.4186,647100,891951.0,381011828.4,184855315.05
2019-03-05,'200168,Ë´†´B,1.41,1.41,1.31,1.31,1.4,0.01,0.7143,0.3924,606505,835889.09,383432360.04,186029683.155
2019-03-04,'200168,Ë´†´B,1.4,1.45,1.36,1.36,1.38,0.02,1.4493,0.543,839380,1186416.0,381034130.4,184866135.3
2019-03-01,'200168,Ë´†´B,1.38,1.38,1.34,1.38,1.39,-0.01,-0.7194,0.4563,705400,961870.0,375023613.96,181950016.095
2019-02-28,'200168,Ë´†´B,1.39,1.46,1.3,1.35,1.33,0.06,4.5113,1.0962,1694401,2366299.85,377448892.74,183126687.368
2019-02-27,'200168,Ë´†´B,1.33,1.35,1.23,1.24,1.23,0.1,8.1301,1.3004,2010041,2639776.26,360927316.26,175110922.508
2019-02-26,'200168,Ë´†´B,1.23,1.27,1.22,1.27,1.24,-0.01,-0.8065,0.3266,504800,623029.0,334279771.56,162182346.795
2019-02-25,'200168,Ë´†´B,1.24,1.26,1.19,1.2,1.19,0.05,4.2017,0.2729,421840,521584.2,337925893.68,163951334.01
2019-02-22,'200168,Ë´†´B,1.19,1.19,1.17,1.19,1.18,0.01,0.8475,0.1627,251460,297590.2,324432546.48,157404773.61
2019-02-21,'200168,Ë´†´B,1.18,1.18,1.16,1.16,1.17,0.01,0.8547,0.1586,245200,288050.0,321991943.04,156220667.28
2019-02-20,'200168,Ë´†´B,1.17,1.18,1.16,1.18,1.17,0.0,0.0,0.1473,227700,265392.0,320851163.88,155667196.035
2019-02-19,'200168,Ë´†´B,1.17,1.18,1.15,1.15,1.16,0.01,0.8621,0.6628,1024541,1192995.56,321291023.04,155880602.28
2019-02-18,'200168,Ë´†´B,1.16,1.16,1.14,1.15,1.15,0.01,0.8696,0.357,551760,634685.0,318615165.36,154582357.77
2019-02-15,'200168,Ë´†´B,1.15,1.15,1.14,1.15,1.16,-0.01,-0.8621,0.0572,88400,101358.0,315729254.7,153182201.963
2019-02-14,'200168,Ë´†´B,1.16,1.16,1.14,1.14,1.16,0.0,0.0,0.1205,186310,214043.4,319018003.2,154777802.4
2019-02-13,'200168,Ë´†´B,1.16,1.16,1.14,1.14,1.16,0.0,0.0,0.2503,386898,443877.72,318692776.32,154620012.24
2019-02-12,'200168,Ë´†´B,1.16,1.16,1.14,1.14,1.16,0.0,0.0,0.0773,119500,136866.0,319143659.04,154838766.78
2019-02-11,'200168,Ë´†´B,1.16,1.16,1.14,1.15,1.15,0.01,0.8696,0.1264,195360,224547.0,317909275.2,154239881.4
