日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2015-11-23,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22548262457.6,9097320446.69
2015-11-20,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22517547082.9,9084928023.71
2015-11-19,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22521430636.0,9086494881.78
2015-11-18,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22523195887.4,9087207090.0
2015-11-17,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22503425071.6,9079230357.97
2015-11-16,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22506955574.4,9080654774.4
2015-11-13,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22473415797.5,9067122818.27
2015-11-12,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22463883439.8,9063276893.89
2015-11-11,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22458940735.8,9061282710.88
2015-11-10,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22454704132.4,9059573411.16
2015-11-09,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22446230925.6,9056154811.72
2015-11-06,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22404217941.9,9039204256.14
2015-11-05,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22376680019.8,9028093807.94
2015-11-04,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22363264109.0,9022681025.49
2015-11-03,'900950,新城Ｂ股,0.0,0.0,0.0,0.0,2.216,None,None,0.0,0,0.0,22351613449.7,9017980451.25
2015-11-02,'900950,新城Ｂ股,2.216,2.367,2.11,2.3,2.22,-0.004,-0.1802,7.5127,48290990,108482765.0,22296537605.4,8995759554.86
2015-10-30,'900950,新城Ｂ股,2.22,2.22,2.1,2.11,2.018,0.202,10.0099,1.9065,12254880,26679130.0,22457391520.6,9060657664.61
2015-10-29,'900950,新城Ｂ股,2.018,2.02,1.919,1.919,1.888,0.13,6.8856,1.8195,11695458,23240998.0,20446443233.9,8249320604.83
2015-10-28,'900950,新城Ｂ股,1.888,1.898,1.872,1.886,1.888,0.0,0.0,0.2923,1878846,3546470.0,19111231278.1,7710616079.4
2015-10-27,'900950,新城Ｂ股,1.888,1.9,1.87,1.893,1.894,-0.006,-0.3168,0.4618,2968293,5595287.0,19098597940.9,7705519034.02
2015-10-26,'900950,新城Ｂ股,1.894,1.905,1.86,1.905,1.895,-0.001,-0.0528,0.4768,3065030,5771267.0,19175888868.8,7736702826.57
2015-10-23,'900950,新城Ｂ股,1.895,1.901,1.821,1.83,1.827,0.068,3.7219,0.5817,3739223,6993538.0,19199901227.0,7746390850.97
2015-10-22,'900950,新城Ｂ股,1.827,1.828,1.781,1.79,1.79,0.037,2.067,0.4152,2669052,4824873.0,18482408415.5,7456911249.78
2015-10-21,'900950,新城Ｂ股,1.79,1.86,1.761,1.85,1.851,-0.061,-3.2955,0.6962,4474959,8098176.0,18101262435.1,7303134118.26
2015-10-20,'900950,新城Ｂ股,1.851,1.855,1.838,1.848,1.849,0.002,0.1082,0.3737,2402200,4429833.0,18759701851.1,7568788040.54
